Outside Woman,Bloodstone
With You I'm Born Again,Billy Preston & Syreeta
A Brand New Me,Dusty Springfield
Rhyme Tyme People,Kool & The Gang
America,Simon & Garfunkel
Meadows,Joe Walsh
No More Mr. Nice Guy,Alice Cooper
Glory Glory,The Rascals
Let Me Down Easy,American Flyer
You're The One-Part II,Little Sister
Joanne,Michael Nesmith & The First National Band
Black Dog,Led Zeppelin
The Blind Man In The Bleachers,Kenny Starr
Devil In The Bottle,T.G. Sheppard
Jack And Jill,Raydio
Burning Love,Elvis Presley
"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand
My Sweet Summer Suite,Love Unlimited Orchestra
Kozmic Blues,Janis Joplin
Rock And Roll All Nite,KISS
Rose Garden,Lynn Anderson
It's Only Love,Elvis Presley
Substitute,Clout
I Love You For All Seasons,The Fuzz
Love Pains,Yvonne Elliman
Even Now,Barry Manilow
Oh My My,Ringo Starr
Do It Good,A Taste Of Honey
Desiree,Neil Diamond
Everything A Man Could Ever Need,Glen Campbell
Till,Tom Jones
Could It Be Magic,Barry Manilow
Also Sprach Zarathustra (2001),Deodato
Cheaper To Keep Her,Johnnie Taylor
Vengeance,Carly Simon
"My Wife, The Dancer",Eddie & Dutch
I Wanna Be Where You Are,Michael Jackson
Shoes,Brook Benton With The Dixie Flyers
Put It Where You Want It,The Crusaders
Inside My Love,Minnie Riperton
You And Me,Liner
Come Get To This,Marvin Gaye
Treat Her Like A Lady,Cornelius Brothers & Sister Rose
Never Get Enough Of Your Love,L.T.D.
You To Me Are Everything,The Real Thing
Young Hearts Run Free,Candi Staton
I'll Go To My Grave Loving You,The Statler Brothers
Coward Of The County,Kenny Rogers
Only Love Can Break A Heart,Bobby Vinton
Bless You,Martha Reeves & The Vandellas
Ruby Tuesday,Melanie
You To Me Are Everything,Broadway
The Happiest Girl In The Whole U.S.A.,Donna Fargo
Overture From Tommy (A Rock Opera),The Assembled Multitude
Boogie Nights,Heatwave
You're My Weakness,Faith Band
Call Me (Come Back Home),Al Green
Bustin' Loose,Chuck Brown & The Soul Searchers
D'yer Mak'er,Led Zeppelin
Didn't It Look So Easy,The Stairsteps
Stealer,Free
Daddy What If,Bobby Bare
"Train, Train",Blackfoot
We'll Have It Made,The Spinners
Someday Never Comes,Creedence Clearwater Revival
California Day,Starland Vocal Band
I'm In You,Peter Frampton
Touch Me,Fancy
Black Lassie (Featuring Johnny Stash),Cheech & Chong
Lady,Little River Band
What A Diff'rence A Day Makes,Esther Phillips
Can't You See,The Marshall Tucker Band
Til The World Ends,Three Dog Night
Speak To The Sky,Rick Springfield
Toast And Marmalade For Tea,Tin Tin
Nathan Jones,The Supremes
Number One,Eloise Laws
A Little Lovin' (Keeps The Doctor Away),The Raes
There It Goes Again,Barbara And The Uniques
"God, Love And Rock & Roll",Teegarden & Van Winkle
New York City,Zwol
(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield
"No, No, Joe",Silver Convention
Rocky Mountain Music,Eddie Rabbitt
Groove Me,Fern Kinney
Give Me Your Love,Barbara Mason
Lady Love,The Klowns
California Saga (On My Way To Sunny Californ-i-a),The Beach Boys
Stop And Smell The Roses,Mac Davis
Machines,John Livigni
Who Loves You,The 4 Seasons
Power Of Love,Joe Simon
Layla,Derek & The Dominos
A Song For You,Andy Williams
How Much Love,Leo Sayer
Wild Thing,Fancy
You're Moving Out Today,Carole Bayer Sager
MacArthur Park,Donna Summer
This Night Won't Last Forever,Michael Johnson
Today's The Day,America
Boogie Woogie Dancin' Shoes,Claudja Barry
Deeper (In Love With You),The O'Jays
Back Together Again,Daryl Hall John Oates
Souvenirs,Voyage
Wigwam,Bob Dylan
What You Won't Do For Love,Bobby Caldwell
For The Love Of Him,Bobbi Martin
Save The Country,Thelma Houston
Easy Driver,Kenny Loggins
Beast Of Burden,The Rolling Stones
Chocolate City,Parliament
Cowboy Song,Thin Lizzy
Lean On Me,Bill Withers
Keep On Doin',The Isley Brothers
The Guitar Man,Bread
My Guy,Petula Clark
Hot Number,Foxy
A Song I'd Like To Sing,Kris Kristofferson & Rita Coolidge
I'm Mandy Fly Me,10cc
The Princess And The Punk,Barry Mann
Funky Stuff,Kool & The Gang
Get Down Tonight,KC And The Sunshine Band
Joy,Apollo featuring Tom Parker
Could I Forget You,Tyrone Davis
If Loving You Is Wrong I Don't Want To Be Right,Millie Jackson
The Man With The Child In His Eyes,Kate Bush
It's All In Your Mind,Clarence Carter
I Got Some Help I Don't Need,B.B. King
You Need A Woman Tonight,Captain & Tennille
Don't Let Me Be Lonely Tonight,James Taylor
Nutbush City Limits,Ike & Tina Turner
Blame It On The Boogie,The Jacksons
Just The Way You Are,Billy Joel
You're My Best Friend,Queen
Reach For It,George Duke
Living It Down,Freddy Fender
Keep Your Eye On The Sparrow,Merry Clayton
Beat Me Daddy Eight To The Bar,Commander Cody
Do You Know What I Mean,Lee Michaels
Is It Love That We're Missin',Quincy Jones (feat. The Brothers Johnson)
How Sweet It Is (To Be Loved By You),James Taylor
The Funniest Thing,Dennis Yost And The Classics IV
Take Me Bak 'Ome,Slade
One Man Band (Plays All Alone),Ronnie Dyson
I'll Never Fall In Love Again,Dionne Warwick
Tell Laura I Love Her,Johnny T. Angel
Too Much Heaven,Bee Gees
Angel In Your Arms,Hot
"Please, Mr. President",Paula Webb
"Theme From ""Close Encounters Of The Third Kind""",John Williams
The Night The Lights Went Out In Georgia,Vicki Lawrence
99 Miles From L.a.,Albert Hammond
There Goes Another Love Song,The Outlaws
This Time It's Real,Tower Of Power
Can't Help Falling In Love,Andy Williams
Blue Collar,Bachman-Turner Overdrive
September Morn',Neil Diamond
Groovin' (Out On Life),The Newbeats
Woodstock,"Crosby, Stills, Nash & Young"
Feel So Bad,Ray Charles
Pretty Lady,Lighthouse
Up For The Down Stroke,Parliament
Talking In Your Sleep,Gordon Lightfoot
"""Having A Party"" Medley",The Ovations (Featuring Louis Williams)
I'm Not Gonna Cry Anymore,Nancy Brooks
Love The One You're With,The Isley Brothers
Knockin' On Heaven's Door,Bob Dylan
Time To Kill,The Band
Prove It All Night,Bruce Springsteen
Alone Again (Naturally),Gilbert O'Sullivan
Cherry Hill Park,Billy Joe Royal
Everybody Loves A Love Song,Mac Davis
Boogie Down,Eddie Kendricks
Skybird,Neil Diamond
Ooh Baby Baby,Linda Ronstadt
Handbags And Gladrags,Rod Stewart
Don't Play That Song,Aretha Franklin with The Dixie Flyers
(Theme From) Love Story,Henry Mancini And His Orchestra
Such A Night,Dr. John
Go Your Own Way,Fleetwood Mac
"Knowing Me, Knowing You",ABBA
Ajax Liquor Store,Hudson and Landry
I Am I Am,Smokey Robinson
My Sweet Lord/Isn't It A Pity,George Harrison
Who Do You Think You Are,Bo Donaldson And The Heywoods
A Fifth Of Beethoven,Walter Murphy & The Big Apple Band
Minnesota,Northern Light
I Get Lifted,George McCrae
The Lights Of Tucson,Jim Campbell
Hold On To The Night,Hotel
Speak Softly Love,Al Martino
The Long Way Home,Neil Diamond
Trying To Hold On To My Woman,Lamont Dozier
The Jam,Graham Central Station
I Think Of You,Perry Como
"Sexy, Sexy, Sexy",James Brown
Mississippi Queen,Mountain
Don't Ever Be Lonely (A Poor Little Fool Like Me),Cornelius Brothers & Sister Rose
Go Back,Crabby Appleton
Love Hurts,Nazareth
Step By Step,Joe Simon
How Did We Lose It Baby,Jerry Butler
Lost Her In The Sun,John Stewart
Sundown,Gordon Lightfoot
Ain't That Loving You (For More Reasons Than One),Isaac Hayes & David Porter
Train Of Thought,Cher
Guess Who/Them Changes,B.B. King
You Decorated My Life,Kenny Rogers
Immigrant Song,Led Zeppelin
Sweet Mary,Wadsworth Mansion
Something,Booker T. & The MG's
Son Of My Father,Giorgio
Let Your Love Flow,Bellamy Brothers
Dance Wit Me,Rufus Featuring Chaka Khan
Runaround Sue,Leif Garrett
The King Is Gone,Ronnie McDowell
Don't Go Breaking My Heart,Elton John & Kiki Dee
The Devil Went Down To Georgia,The Charlie Daniels Band
Amanda,Waylon
All I Have,The Moments
Could It Be I'm Falling In Love,The Spinners
Boogie Child,Bee Gees
Give It What You Got/Peace Pipe,B.T. Express
Louisianna,Mike Kennedy
Behind Closed Doors,Charlie Rich
Who's Your Baby?,The Archies
I Don't Need No Doctor,New Riders Of The Purple Sage
Let It Ride,Bachman-Turner Overdrive
Alone Again Or,Love
Mama Weer All Crazee Now,Slade
I Honestly Love You,Olivia Newton-John
Teddy Bear,Red Sovine
My Heart Just Keeps On Breakin',The Chi-lites
Candy's Going Bad,Golden Earring
Stick-Up,The Honey Cone
My Little Town,Simon & Garfunkel
Thank God And Greyhound,Roy Clark
Southern Nights,Glen Campbell
Something's Wrong With Me,Austin Roberts
Pop Muzik,M
Tell It Like It Is,Andy Williams
I've Got The Music In Me,The Kiki Dee Band
Oh What A Night For Dancing,Barry White
Show And Tell,Al Wilson
Do It Any Way You Wanna,People's Choice
Too Late,Tavares
Doctor's Orders,Carol Douglas
More Than A Feeling,Boston
Philadelphia Freedom,The Elton John Band
My Melody Of Love,Bobby Vinton
Kung Fu,Curtis Mayfield
Darling Come Back Home,Eddie Kendricks
Chicken Strut,The Meters
Here's Some Love,Tanya Tucker
How Long (Betcha' Got A Chick On The Side),The Pointer Sisters
Papa Was A Rollin' Stone,The Undisputed Truth
Been To Canaan,Carole King
Love Me Tonight,Head East
Shilo,Neil Diamond
The Second Time Around,Shalamar
One Of These Nights,Eagles
Can You Handle It?,Graham Central Station
Never Been Any Reason,Head East
Make The World Go Away,Donny & Marie Osmond
Music Box Dancer,Frank Mills
Poor Poor Pitiful Me,Linda Ronstadt
I'd Really Love To See You Tonight,England Dan & John Ford Coley
(All I Have To Do Is) Dream,The Nitty Gritty Dirt Band
O-o-h Child/Dear Prudence,The 5 Stairsteps
In The Stone,"Earth, Wind & Fire"
Blame It On The Boogie,Mick Jackson
You Are Everything,The Stylistics
Le Freak,Chic
Cotton Jenny,Anne Murray
Funny How Love Can Be,First Class
Fancy Dancer,Commodores
Cherish What Is Dear To You (While It's Near to You),Freda Payne
I'll Play The Fool,Dr. Buzzard's Original Savannah Band
My Maria,B.W. Stevenson
Today I Started Loving You Again,Bettye Swann
Grasshopper,Spin
Day Is Done,Brooklyn Bridge
What It Is,The Undisputed Truth
Some Guys Have All The Luck,The Persuaders
When You're In Love With A Beautiful Woman,Dr. Hook
You'll Lose A Good Thing,Freddy Fender
Over The Hills And Far Away,Led Zeppelin
Judy Mae,Boomer Castleman
Baby I'm Burnin',Dolly Parton
Tracks Of My Tears,Linda Ronstadt
I Shall Sing,Garfunkel
A Place In The Sun,Pablo Cruise
The Loco-Motion,Grand Funk
Baby Let Me Kiss You,King Floyd
I Heard It Through The Grapevine,Creedence Clearwater Revival Featuring John Fogerty
Fire And Rain,James Taylor
Until It's Time For You To Go,Neil Diamond
Lonely Boy,Andrew Gold
Angel,Aretha Franklin
Stoned To The Bone - Part 1,James Brown
Open Up My Heart/Nadine,The Dells
Lady Marmalade,Labelle
FM (No Static At All),Steely Dan
September,"Earth, Wind & Fire"
H.a.p.p.y. Radio,Edwin Starr
Honky Cat,Elton John
I Need Help (I Can't Do It Alone) Pt. 1,Bobby Byrd
I Wrote A Simple Song,Billy Preston
Close To You,B.T. Express
Little Green Bag,George Baker Selection
Christmas For Cowboys,John Denver
Sixty Minute Man/Mother-In-Law,Clarence Carter
It's Impossible,Perry Como
Down On Me,Janis Joplin
She Believes In Me,Kenny Rogers
Do Your Thing,Isaac Hayes
Country Road,James Taylor
The Gambler,Kenny Rogers
Fire And Water,Wilson Pickett
If You Want It,Niteflyte
The First Time Ever I Saw Your Face,Roberta Flack
Play That Funky Music,Wild Cherry
Frankenstein,Edgar Winter Group
Mornin' Beautiful,Tony Orlando & Dawn
Beaucoups Of Blues,Ringo Starr
Where Is The Love,Roberta Flack & Donny Hathaway
Themes From The Wizard Of Oz,Meco
Mr. Melody,Natalie Cole
Slippery When Wet,Commodores
As,Stevie Wonder
Think (About It),Lyn Collins
Fly Away,John Denver
Best Thing That Ever Happened To Me,Gladys Knight And The Pips
Our Love,Natalie Cole
Over The Rainbow,Gary Tanner
Friends With You,John Denver
Steamroller Blues/Fool,Elvis Presley
Sweet Summer Lovin',Dolly Parton
The Americans (A Canadian's Opinion),Tex Ritter
What's Your Name,Lynyrd Skynyrd
Rocket Ride,KISS
Shinin' On,Grand Funk
I Just Can't Say No To You,Parker McGee
Are You Getting Any Sunshine?,Lou Christie
Get It On,Chase
Drift Away,Dobie Gray
Steal Away,Johnnie Taylor
"Goodbye, I Love You",Firefall
Easy To Be Free,Rick Nelson
Morning,Jim Ed Brown
He's So Fine,Jane Olivor
The Music Never Stopped,The Grateful Dead
Growin',Loggins & Messina
Fame,David Bowie
Since I Met You Baby,Freddy Fender
Greased Lightnin',John Travolta
(What A)  Wonderful World,Art Garfunkel With James Taylor & Paul Simon
Every Day I Have To Cry Some,Arthur Alexander
(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,Cheech & Chong
Soolaimón (African Trilogy II),Neil Diamond
Midnight Wind,John Stewart
Gypsy Queen - Part 1,Gypsy
Since I Don't Have You,Art Garfunkel
Bad Time,Grand Funk
Back When My Hair Was Short,Gunhill Road
Cat's In The Cradle,Harry Chapin
Don't Stop,Fleetwood Mac
The Doodle Song,Frankie Miller
Resurrection Shuffle,"Ashton, Gardner & Dyke"
Happy Anniversary,Little River Band
Livingston Saturday Night,Jimmy Buffett
I Play And Sing,Dawn
Livin' Thing,Electric Light Orchestra
Summer Breeze,Seals & Crofts
Happier Than The Morning Sun,B.J. Thomas
Me And Bobby McGee,Janis Joplin
Swamp Witch,Jim Stafford
Satisfaction,Smokey Robinson & The Miracles
I Believe In Father Christmas,Greg Lake
Sam,Olivia Newton-John
Brian's Song,Michel Legrand
Blowing Away,The 5th Dimension
Chip Away The Stone,Aerosmith
Happy Days,Pratt & McClain with Brother Love
It Feels So Good To Be Loved So Bad,The Manhattans
Goofus,Carpenters
Only Love Is Real,Carole King
Honey Come Back,Glen Campbell
Daddy's Home,Jermaine Jackson
Yesterday I Had The Blues,Harold Melvin And The Blue Notes
Cry Baby,Janis Joplin
Can't Say Nothin',Curtis Mayfield
Good Morning,Michael Redway
Cruisin',Smokey Robinson
Margaritaville,Jimmy Buffett
You Can't Change That,Raydio
I'll Be Around,The Spinners
Straight Shootin' Woman,Steppenwolf
It Could Have Been Me,Sami Jo
Breaker - Breaker,Outlaws
It Was Almost Like A Song,Ronnie Milsap
Silver Dreams,The Babys
Your Love (Means Everything to Me),Charles Wright And The Watts 103rd Street Rhythm Band
Most Likely You Go Your Way (And I'll Go Mine),Bob Dylan/The Band
Motown Review,Philly Cream
Free To Carry On,The Sandpipers
Do It In The Name Of Love,Candi Staton
My Honey And Me,Luther Ingram
Lucky Man,"Emerson, Lake & Palmer"
Paper Roses,Marie Osmond
Do Me Right,Detroit Emeralds
Freedom For The Stallion,The Hues Corporation
Spirit Of The Boogie/Summer Madness,Kool & The Gang
Gimme Some More,The JB's
Crazy Love,Helen Reddy
Ask Me What You Want,Millie Jackson
Dazz,Brick
Try It On,Exile
You Are So Beautiful/It's A Sin When You Love Somebody,Joe Cocker
I Know A Heartache When I See One,Jennifer Warnes
Mind Bender,Stillwater
The Lion Sleeps Tonight,Robert John
Do You Know What Time It Is?,P-Nut Gallery
I Just Don't Know What To Do With Myself,Gary Puckett
Discomania,The Lovers
Whatever Turns You On,Travis Wammack
Basketball Jones Featuring Tyrone Shoelaces,Cheech & Chong
Geronimo's Cadillac,Michael Murphey
I Pity The Fool,Ann Peebles
Saturday Night Special,Lynyrd Skynyrd
Everybody's Everything,Santana
Dance The Kung Fu,Carl Douglas
Loving Her Was Easier (Than Anything I'll Ever Do Again),Kris Kristofferson
I Believe In Love,Kenny Loggins
Make Love To Me,Helen Reddy
Wild World,The Gentrys
"Shame, Shame, Shame",Shirley And Company
Happiness Is Just Around The Bend,The Main Ingredient
Bloody Well Right,Supertramp
One Bad Apple,The Osmonds
TUSK,Fleetwood Mac
Magic,Pilot
Holdin' On For Dear Love,Lobo
La La La (If I Had You),Bobby Sherman
Norma Jean Wants To Be A Movie Star,Sundown Company
Silver Moon,Michael Nesmith & The First National Band
I Believe You,Carpenters
A Real Mother For Ya,Johnny Guitar Watson
You Never Done It Like That,Captain & Tennille
Don't Want To Say Goodbye,Raspberries
The Raven,The Alan Parsons Project
Everyday Without You,"Hamilton, Joe Frank & Reynolds"
You're All I Need To Get By,Tony Orlando & Dawn
"Baby, I Need Your Lovin'",Eric Carmen
Sleepin',Diana Ross
Give Me An Inch,Ian Matthews
Baby I Want You,Funky Communication Committee
What A Wonderful Thing We Have,The Fabulous Rhinestones
Life Ain't Easy,Dr. Hook And The Medicine Show
You're My Man,Lynn Anderson
If You Leave Me Tonight I'll Cry,Jerry Wallace
Everyday,John Denver
Fancy,Bobbie Gentry
That Same Old Feeling,The Fortunes
King Of Nothing,Seals & Crofts
Killer Cut,Charlie
Mississippi,John Phillips
I Want To Take You Higher,Sly & The Family Stone
Wildflower,The New Birth
Take A Look Around,Smith
I Say A Little Prayer/By The Time I Get To Phoenix,Glen Campbell/Anne Murray
Good Time Sally,Rare Earth
Who Are You,B.B. King
(I'm Going By) The Stars In Your Eyes,Ron Banks And The Dramatics
The Shape Of Things To Come,The Headboys
I Need To Be In Love,Carpenters
If Walls Could Talk,Little Milton
Mr. Jaws,Dickie Goodman
Wildfire,Michael Murphey
Jody's Got Your Girl And Gone,Johnnie Taylor
"Hot Love, Cold World",Bob Welch
I Dig Everything About You,The Mob
Reunited,Peaches & Herb
Me And My Arrow,Nilsson
Send A Little Love My Way,Anne Murray
Rock Around The Clock,Bill Haley And His Comets
I'm So Glad I Fell For You,David Ruffin
Compared To What,Les McCann & Eddie Harris
I Woke Up In Love This Morning,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Fooling Yourself (The Angry Young Man),Styx
The Pill,Loretta Lynn
Leaving Me,The Independents
Daybreak,Nilsson
Heavy Fallin' Out,The Stylistics
(She's Just A) Fallen Angel,Starz
For The Love Of Money,The O'Jays
Wang Dang Doodle,The Pointer Sisters
Kentucky Moonrunner,Cledus Maggard And The Citizen's Band
Gimme Shelter,Merry Clayton
What Am I Living For,Ray Charles
I Only Want To Be With You,Bay City Rollers
One Beautiful Day,"Ecstasy, Passion & Pain"
He Don't Love You (Like I Love You),Tony Orlando & Dawn
It's Only Make Believe,Glen Campbell
Special Someone,The Heywoods
Close Your Eyes,Edward Bear
I Like You,Donovan
Ask Me No Questions,B.B. King
The Animal Trainer And The Toad,Mountain
Sail On Sailor,The Beach Boys
Home And Dry,Gerry Rafferty
Forever In Blue Jeans,Neil Diamond
You've Got My Soul On Fire,The Temptations
Rub It In,"Billy ""Crash"" Craddock"
Welcome Back,John Sebastian
Makin' Love,Climax Blues Band
T-R-O-U-B-L-E,Elvis Presley
Black Byrd,Donald Byrd
Totally Hot,Olivia Newton-John
You Don't Love Me Anymore,Eddie Rabbitt
The Court Of The Crimson King - Part 1,King Crimson
Couldn't Get It Right,Climax Blues Band
The Things We Do For Love,10cc
It Ain't Easy Comin' Down,Charlene
Hearsay,The Soul Children
The Hurt,Cat Stevens
Don't Ever Wanna Lose Ya,New England
Fresh Air,Quicksilver Messenger Service
Black Seeds Keep On Growing,The Main Ingredient
Land Of Make Believe,Chuck Mangione With The Hamilton Philharmonic Orchestra
Toast To The Fool,The Dramatics
Traces/Memories Medley,The Lettermen
"The Sly, Slick, And The Wicked",The Lost Generation
Just To Be Close To You,Commodores
Love Is Funny That Way,Jackie Wilson
Hard Work,John Handy
No Tell Lover,Chicago
Hold Her Tight,The Osmonds
It's A Crazy World,Mac McAnally
Free Me From My Freedom/Tie Me To A Tree (Handcuff Me),Bonnie Pointer
Hot Love,T. Rex
Heart On My Sleeve,Bryan Ferry
This Old Heart Of Mine,Rod Stewart
She Lets Her Hair Down (Early In The Morning),Gene Pitney
Sealed With A Kiss,Bobby Vinton
The Day I Found Myself,The Honey Cone
Tonight's The Night,S.S.O.
You've Lost That Lovin' Feelin',Roberta Flack & Donny Hathaway
Burning Bridges,The Mike Curb Congregation
I Bet He Don't Love You (Like I Love You),The Intruders
Convoy,C.W. McCall
That'll Be The Day,Linda Ronstadt
Good Morning Judge,10cc
Last Song,Edward Bear
Scorpio,Dennis Coffey & The Detroit Guitar Band
Fish Ain't Bitin',Lamont Dozier
It's A Heartache,Bonnie Tyler
Who'd She Coo?,Ohio Players
They Can't Take Away Our Music,Eric Burdon And War
Ko-Ko Joe,Jerry Reed
Angeleyes,ABBA
Gonna Love You More,George Benson
Just When I Needed You Most,Randy VanWarmer
Dear Prudence,Katfish
Quiet Storm,Smokey Robinson
Wake Up Everybody (Part 1),Harold Melvin And The Blue Notes
"Tighter, Tighter",Alive & Kicking
The Greatest Love Of All,George Benson
Anthem,Wayne Newton
A Natural Man,Lou Rawls
Music Eyes,Heartsfield
Can't Hide Love,"Earth, Wind & Fire"
Sound And Vision,David Bowie
One Toke Over The Line,Brewer And Shipley
If I Could Only Be Sure,Nolan Porter
What's Going On,Marvin Gaye
Broken Hearted Me,Anne Murray
You Got Me Hummin,Cold Blood
Calling Occupants Of Interplanetary Craft,Carpenters
All By Myself,Eric Carmen
Alvin Stone (The Birth & Death Of A Gangster),Fantastic Four
Keep On Running Away,Lazy Racer
Together Let's Find Love,The 5th Dimension
I Will Never Pass This Way Again,Glen Campbell
Westbound #9,The Flaming Ember
I Started Loving You Again,Al Martino
Grandma's Hands,Bill Withers
(They Long To Be) Close To You,Carpenters
Hot Pants (She Got To Use What She Got To Get What She Wants) (Pt. 1),James Brown
Fantasy,"Earth, Wind & Fire"
I Miss You,The Dells
Maybe I'm A Fool,Eddie Money
Someday We'll Be Together,Diana Ross & The Supremes
Talk It Over In The Morning,Anne Murray
It's Ecstasy When You Lay Down Next To Me,Barry White
Hi-De-Ho,"Blood, Sweat & Tears"
Romeo's Tune,Steve Forbert
The Same Love That Made Me Laugh,Bill Withers
Bluer Than Blue,Michael Johnson
To Get To You,Jerry Wallace
I'll Be Home,Vikki Carr
I'm A Greedy Man - Part I,James Brown
Sex Machine (Part I),James Brown
Rag Doll,Sammy Johns
Tired Of Being Alone,Al Green
Love Is Better In The A.M. (Part 1),Johnnie Taylor
Ain't Too Proud To Beg,The Rolling Stones
Brother's Gonna Work It Out,Willie Hutch
The Girls' Song,The 5th Dimension
When Will I See You Again,The Three Degrees
Shaving Cream,Benny Bell
Rosalie,Sam Neely
Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen
MacArthur Park (Part II),Four Tops
L.a. Freeway,Jerry Jeff Walker
Better By The Pound,Funkadelic
Please Come To Boston,Dave Loggins
Mother Freedom,Bread
Another Star,Stevie Wonder
"Never, Never Gonna Give Ya Up",Barry White
Shoe Shoe Shine,Dynamic Superiors
Silver Lady,David Soul
It's Over,Electric Light Orchestra
One Fine Day,Rita Coolidge
Red Eye Blues,Red Eye
Get That Gasoline Blues,NRBQ
You Keep Me Holding On,Tyrone Davis
Video Killed The Radio Star,The Buggles
It Doesn't Matter Anymore/When Will I Be Loved,Linda Ronstadt
Love Jones,Brighter Side Of Darkness
Come On Over,Olivia Newton-John
Americans,Byron MacGregor
Cut The Cake,AWB
Evil Woman,Electric Light Orchestra
Feel That You're Feelin',Maze Featuring Frankie Beverly
Everlasting Love,Carl Carlton
"Changes In Latitudes, Changes In Attitudes",Jimmy Buffett
Trouble Man,Marvin Gaye
Somewhere In The Night,Helen Reddy
City In The Sky,The Staple Singers
If You're Not Back In Love By Monday,Millie Jackson
Do Ya Wanna Get Funky With Me,Peter Brown
There's No Me Without You,The Manhattans
Daniel,Elton John
Arrow Through Me,Wings
