Der Kommissar,After The Fire,spotify:track:0OCoPwxoxtmhwTzUCpilQc
A Fool for Your Stockings,ZZ Top,spotify:track:5sJEntK68Ecj0S61k41zQ8
Dust My Broom,ZZ Top,spotify:track:1D78AIy6mJ4EkeNhM9FPjz
Lowdown in the Street,ZZ Top,spotify:track:4LzgR48Ahifw6YMPom8WYD
Sally Can't Dance,Lou Reed,spotify:track:5eLwwPNN9g5yLrIdyj2ewP
For Whatever It's Worth,Fox,spotify:track:2f1hoWNRiwxwQmE7SpgjRb
Aime toi toi-même,Ilous & Decuyper,spotify:track:4tuOKF5OedWq4QOgu58Gsm
Sunshine Day And Night,CAN,spotify:track:1pKb6rGoqpJmZ8uRjPad3M
Fly By Night,CAN,spotify:track:44HwlVpErA294DlR4UPmpD
That Is The Way - 2001 Digital Remaster,XTC,spotify:track:0DV6DGdMd6u5IoOoUAnkl1
Won't Step on Your Shoes,Barnaby Bye,spotify:track:2jsSVCpY7TFgz8Z1dlsJ1o
All the Things,The Byrds,spotify:track:7GySlpnZqdZtA49oPFEuSX
Lost My Drivin' Wheel,Roger McGuinn,spotify:track:7wmCIpITN6fgscz5L6T81o
Can't Live This Way,Barnaby Bye,spotify:track:6jANK3MgvnC1dO2G3Sp27C
Enjoy It,Brian Protheroe,spotify:track:2IiHOH3rdzCXPCRRsZKcfx
Year of the Cat,Al Stewart,spotify:track:7MTX3vevnm41xuEoPxWT3j
Livin in the Jungle,John Tropea,spotify:track:1KnSyVa9CdLuBD8HyHPBLt
My Sarah,Thin Lizzy,spotify:track:5VSHTbOYjs16k6tb6o70Sh
Vida De Cachorro,Os Mutantes,spotify:track:1YrTAW0NP5dniCPFqoG8CT
Good Morning Judge,10cc,spotify:track:1fMGRxKRtIKNyaMMGrzInM
Something New,Kim Fowley,spotify:track:0TVTXU4WpaldJE9dl8NjzB
Dancing All Night,Kim Fowley,spotify:track:4xiyze4tz7OlEuJcTA2ZqS
Wind,Kim Jung Mi,spotify:track:5HshJOG3lOUEZinx0I3vXf
San Tropez,Pink Floyd,spotify:track:3kbUFmLV5SHVQonfOpNgkd
Make Me Smile (Come up and See Me) - 2014 Remaster,Steve Harley,spotify:track:184QpO8ZchGncbNyJe9SDT
Jean Cocteau - 2019 Stereo Mix,Be Bop Deluxe,spotify:track:7eRw80MSOXvlfxrjcxn8dU
Promenader,Ragnarök,spotify:track:3lmfBFfYlCKpHJjQSaX8MC
Dagarnas Skum,Ragnarök,spotify:track:7JV9e0hj8h9nDv47y3iKIo
Fabriksfunky,Ragnarök,spotify:track:5e2Mo08qDw4KBICVNDiP3r
Fjottot,Ragnarök,spotify:track:7b4Y8LnPWUeTg5K5WJzUKW
L'horrible rêve,Le Système Crapoutchik,spotify:track:2mlWu5vLZmiYQcnbN2JBXk
Les sans amour,Le Système Crapoutchik,spotify:track:5duqEBSujUQCM6ePo10kDn
Wet Job,Fingerprintz,spotify:track:1Pk0ZgYo0xNArZA3DM1g1u
Tough Luck,Fingerprintz,spotify:track:5hB9OLGCDWf8P5Rk0vVKDt
L'affiche,Le Système Crapoutchik,spotify:track:0Q7o8LIV2QukowaRGH0FSK
Pauv' muezzin,Le Système Crapoutchik,spotify:track:7bg7yoe7abgdhYsFAmJfsf
Trampled Under Foot - 2012 Remaster,Led Zeppelin,spotify:track:4lPJoKw24HizeIcDLqaWeE
The Wanton Song - 2012 Remaster,Led Zeppelin,spotify:track:5tLacvgGxftjiWhddXuUn5
Calico Girlfriend,Michael Nesmith,spotify:track:3TNFlvZTduJq1jetjUCUTz
Dancing,John Martyn,spotify:track:54v6prmNNU6M6tXJpPiCyn
Sunny Side of Heaven,Fleetwood Mac,spotify:track:3kpH1izy0QrjIDBFbz83YD
Pure Smokey - 2004 Mix,George Harrison,spotify:track:7jkhWo9VpzdPXxcqKQo1Ip
It's the Way,Pete Dello and Friends,spotify:track:6xGiIeEqBHJ7fOriXnQX4G
Midnight Rider,The Allman Brothers Band,spotify:track:7oxSfM3FXCdw7EXNreNoRz
Dust Filled Room,Bill Fay,spotify:track:1pl730o1mIy78Tz5bG9YVV
January,Pilot,spotify:track:37ncw2kChEJzbmmKMzGAoE
"Hello, There",John Cale,spotify:track:6Hm0mU868o8cPVkQ7tOmFa
Outlaw Man,David Blue,spotify:track:6X6o9mmX7P9adZMDY2SLOw
Darlin' Jenny,David Blue,spotify:track:17Wd9gt2MHsv0tvgLZT78s
You're the Singer,Bernie Leadon,spotify:track:2VXFgp2hUezFt1fuX30bQC
Maya Love,George Harrison,spotify:track:4Ou86mbpOqZMtoE9BJLmjH
I Can Help,Billy Swan,spotify:track:0DMmXYU7SgAGFJak6OSdXb
Glad and Sorry,Faces,spotify:track:0NtyuUILV22rjcc7JiSFfA
"Maria, Maria",David Blue,spotify:track:0RrpOdfSgGZhw3iFL0atEM
(You Just) Woman Handled My Mind,Billy Swan,spotify:track:6EJPSgCecefzn1tkQEaXAp
Curiosity Killed The Cat - 2010 Digital Remaster,Little River Band,spotify:track:4FPkpfgkCe1deoJeaelUXC
Sentimental Lady,Bob Welch,spotify:track:478thMMvYGris8eJPcDRoq
Magnet,NRBQ,spotify:track:3PtbClNU5TMLS2Hpf6ax5t
Here Comes the Weekend,Dave Edmunds,spotify:track:5iup0LXgEnQwJ5kfJJStwT
Do Re Mi,Ry Cooder,spotify:track:4l7riyMsj4wDFtaHzuyTgA
Forget Me Not,Roy Harper,spotify:track:1CUrm4mTxiTKxuLC4Hjw4m
Walk On - 2016 Remaster,Neil Young,spotify:track:1MF5iQOhiz11mhehiqjPMN
See the Sky About to Rain - 2016 Remaster,Neil Young,spotify:track:4tYPrKSZJQTocvTiPkA87i
For the Turnstiles - 2016 Remaster,Neil Young,spotify:track:46m0x6s8YzccwTPwqyMiaz
Motion Pictures (For Carrie) - 2016 Remaster,Neil Young,spotify:track:4Cex5qepeRpLHU53oESRIx
Ambulance Blues - 2016 Remaster,Neil Young,spotify:track:4jUvuCcFjZaAIFoZMh77kW
Misty Roses,Colin Blunstone,spotify:track:1yaEIBb1Ify3Yrun7Dbcb0
Let Me Roll It - Remastered 2010,Paul McCartney,spotify:track:0mRQp2HsSqX1MZuMvonAPN
Mambo Sun - Remastered,T. Rex,spotify:track:79dQwpXjJ4t3pILysdqFyB
I Want More,CAN,spotify:track:1ynemPxsPrCwUb87VmGFuq
Funtime,Iggy Pop,spotify:track:3tFQ4Zz3FKz3s6sCdY1mQg
Johnny,Thin Lizzy,spotify:track:61pfH5ZqhvVf0IZsH971TF
Thank You for Sending Me an Angel,Talking Heads,spotify:track:70Whdlh6T8az2AOXtDedPM
Travelin' Light,J.J. Cale,spotify:track:6TXAZHsvrI7Ki20wTZAeu7
"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers,spotify:track:1tL5a9jowsWMtn3wkFYsG9
Blackmail,10cc,spotify:track:5J82Xmm1hLcoEhm3volpKr
I'd Die Babe - Remastered 2010,Badfinger,spotify:track:49IgKQQGk5ZxH4O32wc41A
Bloody Well Right - Remastered,Supertramp,spotify:track:1Hiu8xfwvnIguinacEyDoY
Telegram Sam,T. Rex,spotify:track:4hdKgDxQMLEoiNwzL1Wu5y
Suffragette City - 2012 Remaster,David Bowie,spotify:track:3YZa4IzxK2UtEKTvdTgsi8
Showdown,Electric Light Orchestra,spotify:track:5xAZDlzqvI1wflhB4mzYoz
Do Ya,Electric Light Orchestra,spotify:track:0NN32Knbyo4gM1DKY9rdzg
(Love Is) Thicker Than Water,Andy Gibb,spotify:track:5WdF8jm3hBNi1t9qlqdjsE
Right Place Wrong Time,Dr. John,spotify:track:0I2ELF6uHlL4ABu9aFiou7
Sweet F.A.,Sweet,spotify:track:4jCIvvRyUUTcLejqlhrcEB
Soulful Drifter,Lincoln Street Exit,spotify:track:0DwJcqqwyG795DcOAsPtnO
What Is Life,George Harrison,spotify:track:7be7aHPLjs3qkKmxR18jeY
Military Madness,Graham Nash,spotify:track:6n3Wk44F3ZZwts8OAyB2zK
Searching,Lynyrd Skynyrd,spotify:track:07xYMBIPw1Oan0BreDq6lr
Jeans On,David Dundas,spotify:track:0uN4g8yIAUpbyjcLhn79t7
Yellow River,Christie,spotify:track:4VnzKUBMB6cvog8Jvv1few
Couldn't Get It Right,Climax Blues Band,spotify:track:7GSCnEFxiD6Im98CbfySDw
Southern Cross,The Ozark Mountain Daredevils,spotify:track:69hbKkOa45vh2oWOwDeBFG
Make up Your Mind,The J. Geils Band,spotify:track:6Xa2bs31bL5ZpieGeMuoDS
Frozen Smiles,Graham Nash,spotify:track:7e6dZ8FOY1VFG1nHY7OUK9
Skin and Bone,The Kinks,spotify:track:1g0e56B1pJMGaTEbSa5IAA
Glass Off,Bernie Leadon,spotify:track:5y3Uzcl2XAIlOJ8cHXMdjP
I Dig Love,George Harrison,spotify:track:7Gv21TfOtWHhpt1xEBf83e
Smoke Big Factory - Remastered,The Guess Who,spotify:track:4BPCMtdK8cZlcBQ3bTmmIg
So It Goes,Nick Lowe,spotify:track:6Ps348Q1xTh0yUDK8Htblb
Six Blade Knife,Dire Straits,spotify:track:7f8mgCngOGhoRNAmhN6GIo
Street People,Bobby Charles,spotify:track:0a1jO74XhXNC6TrFgr8VEI
Thousand Days Of Yesterdays (Time Since Come And Gone),Captain Beyond,spotify:track:6TSiIvYWvLezKpIbFZj09y
As The Moon Speaks (Return),Captain Beyond,spotify:track:3lnAnDpGvZVS7EhgMp2PeE
Altogether Alone,Hirth Martinez,spotify:track:0u5RieYKhBsYeLBhJObX4z
Looking for Today - 2013 Remaster,Black Sabbath,spotify:track:5P5HJWMaiXG2kyfz35i1Hf
Wildcrow Blues,Eric Andersen,spotify:track:3r96raul31ch6g8n0rbTZx
Roll It,Eric Clapton,spotify:track:5vJXEq2YnJ0VpX3gkmuYV8
Glowin' (2018 Remaster),The Rationals,spotify:track:4Fv7N5artJ3fKgLpogoCuT
Crippled Inside - Remastered 2010,John Lennon,spotify:track:5CG4RXjli90Zd1KDalPqeK
Running Back,Thin Lizzy,spotify:track:2XKmdfgJ1ev92dhxGc9Eky
Up to Me,Roger McGuinn,spotify:track:2Yvm4TvVBg6uBO6GXvILEl
Dreamland,Roger McGuinn,spotify:track:24mustV9Nxa5HHIahWxUuW
Same Old Sound,Roger McGuinn,spotify:track:2WYVmMYEPFADNe5ZDgPKU5
The Lady,Roger McGuinn,spotify:track:2vkCQdyFu7LaoFpr07Vn67
Circle Song,Roger McGuinn,spotify:track:0A1Mc9xBNpbOV5JPWVSxzd
Him,Rupert Holmes,spotify:track:5rMthFHPxRDi4Uxg06iK6H
Walking In the Rain,Flash and the Pan,spotify:track:4g4DadbkndeDmQXrxNC086
Ballad of Mott The Hoople,Mott The Hoople,spotify:track:6dU5h5pvEUoTnOTfzHOF1r
I'm a Cadillac / El Camino Dolo Roso,Mott The Hoople,spotify:track:59lGYKsi2un2LHkzPYDuWL
New Values,Iggy Pop,spotify:track:5LmqBIugWpgE9OA8jFk4i3
Into the Future...,The Vibrators,spotify:track:4tv439XgrxZPsonSPvaAFy
Sombre Reptiles - 2004 Digital Remaster,Brian Eno,spotify:track:09owruFWkS2w3SXKdbmBbw
If I Only Knew,The Ozark Mountain Daredevils,spotify:track:66mtlL5so9j2JctA8JV4xF
Mr. Powell,The Ozark Mountain Daredevils,spotify:track:5eMLHIAlctD902tHhsem6q
From Time To Time,The Ozark Mountain Daredevils,spotify:track:75GKU7Guusix9g5cGEhy7n
Yes It's True,Flamin' Groovies,spotify:track:5AnLr24Ra8evdA0q2rCEWG
You Tore Me Down,Flamin' Groovies,spotify:track:3I6PKxGkYfopqoEgdYBNuf
Teenage Confidential,Flamin' Groovies,spotify:track:0JD3crz9UzPRAVH7DEg3yO
I Can't Hide,Flamin' Groovies,spotify:track:07hRx2M5TBG5W1x2e2EkMX
High Flyin' Baby,Flamin' Groovies,spotify:track:55pWqAzL0ZVvIV99Hv4TRG
Have You Seen My Baby?,Flamin' Groovies,spotify:track:0RNfPkMbCQ7f8sGmOopf6N
Yesterday's Numbers,Flamin' Groovies,spotify:track:0wwU4DXQZJS1M0V0mRovSP
Doctor Boogie,Flamin' Groovies,spotify:track:4dt76cwFH4AEjBOwEaKLYF
Shakin' All Over,Flamin' Groovies,spotify:track:7hywDJ7QOsCf66RrtiWx9J
Louie Louie,Flamin' Groovies,spotify:track:2UgSMUXyRJqEoXaOw3gSwL
Baby Strange,T. Rex,spotify:track:7rpW9vanJhOhe55YkquixZ
I May Be Wrong,Kieran White,spotify:track:3LaEOEHad8xzEFfyV9kbqY
Laughing,David Crosby,spotify:track:2R0M2sTlCgW6vPIz26f2b2
Sneakers (Fifty-Four),Sea Level,spotify:track:733EU6v3WTL1T4kLEn5FBr
Miss Shapiro,Phil Manzanera,spotify:track:5dw9u318auucbos9fs0AcP
Travellin',The Jeremy Spencer Band,spotify:track:5AmiKHSAkkQ1xaFTFtqkk8
J. Rider,Anonymous ,spotify:track:26h1W7pwll4INsH3PsDMzT
Who's Been Foolin'?,Anonymous ,spotify:track:5vwgBRRKIIMkya7USf2JHy
St 110/6,Big Star,spotify:track:3rZAGNKmelPnF4dNqm4hnS
Clown,Argent,spotify:track:3Sxgdq2NBlsrF9PQuZrIyp
La soupeuse,Jeanne Folly,spotify:track:30L34U1Q4jK5fvU0nAqONx
Kicks,Lou Reed,spotify:track:1oD6UVuuUJ6CSQhdjcHHED
Crazy Feeling,Lou Reed,spotify:track:2mauTBfQkFGicjZiRY3Vlm
Sweet Painted Lady - Remastered 2014,Elton John,spotify:track:7sGL3k2M6FiWFP9x83wiLA
Look What The Wind Blew In,Thin Lizzy,spotify:track:0Cf2ES9dzLYp0Sa9aCSttF
Snappy Kakkie,ZZ Top,spotify:track:7ame6I0vHrT5Tf4Wip8X4L
The Black Riders & Flight to the Ford,Bo Hansson,spotify:track:1jdhg20IDxH02Ffj0XAdVD
Ain't Got Time,Roy Ayers Ubiquity,spotify:track:0a6KDKdCDoPconrNOhRUmR
King's Lead Hat - 2004 Digital Remaster,Brian Eno,spotify:track:4kWkthAKzqYgI2tk0iHOqv
Here He Comes - 2004 Digital Remaster,Brian Eno,spotify:track:4ECcTtuC7AbdHfInc5Ksa6
Hymn - 2003 Remaster,Kevin Ayers,spotify:track:08XbmFfPO6csKL64YRkwhh
Chains,Iggy Pop,spotify:track:3UmzRfFa2gUTFWMM6Pk5gY
All Day Music,War,spotify:track:6nOgfdfLQ6ZzlRMTqiqQlt
Definitive Gaze,Magazine,spotify:track:4evPXNJG9VB8gJgT5rTAB8
Say Hello,April Wine,spotify:track:0ld4TBGn0G1wouqUjMFymD
Dancing In The Moonlight (It's Caught Me In It's Spotlight),Thin Lizzy,spotify:track:6BmzbaB08O0FjHXeS0cR5b
Tonite,April Wine,spotify:track:7GdW5OjL0q56JTZqGW7tnw
Magneto And Titanium Man - 1993 Digital Remaster,Wings,spotify:track:1oHJqJn5Y7lwCqZNWEdaMe
Are 'Friends' Electric?,Gary Numan / Tubeway Army,spotify:track:4YMjssjl6JWPF4ZIcvcwkg
Poptones,Public Image Ltd.,spotify:track:2KRT2KBz6AGGXQhD0HaEro
Riding In The Rain,Thirsty Moon,spotify:track:2J4iziE0RvDeing2WBMasH
Tangerine - Remaster,Led Zeppelin,spotify:track:4ywWJqYKOwaVVh9xXARWUS
Stranger in Blue Suede Shoes - 1999 Remaster,Kevin Ayers,spotify:track:5fyCT0lEtT7A3ub7EFTWDW
I'll Come Running - 2004 Digital Remaster,Brian Eno,spotify:track:6ZWVeMysm8Q8zZu3lKnY2v
Rocky Mountain Way,Joe Walsh,spotify:track:2XHjFJVXYlEzoDvN82h8s5
The Beat,Elvis Costello & The Attractions,spotify:track:1MDN8WFF2lKuCTwgKY4Ubp
In My Own Time,Family,spotify:track:0UzpaTzbid1PulTckU64Gx
Who Are The Mystery Girls?,New York Dolls,spotify:track:6KZcI1yOB7egceBfweNhq6
Auntie Aviator,John & Beverley Martyn,spotify:track:16OBygb9VOkiCTmiI2xhUp
Give Me Love (Give Me Peace On Earth),George Harrison,spotify:track:4XMRt4xFqLzGs4wDKkSSeu
Isolation - Remastered 2010,John Lennon,spotify:track:3sRQJYlA7P4oIRUwy8Im9r
Girl from Germany,Sparks,spotify:track:02R9bZXporpbufvOKgf6At
Johnny's Garden,Stephen Stills,spotify:track:1NwSBE0JGYzHgAytuZdIiO
White Light / White Heat,Mick Ronson,spotify:track:0IGsVHB3jwOzuAIeaT4eeW
One More Time,Redbone,spotify:track:0lw7D42UsldtIHdyLopZdx
When My Baby's Beside Me,Big Star,spotify:track:3k0xITtgCxdbwyGTxpbpH1
36 Inches High,Nick Lowe,spotify:track:2q8K1ZWPhEnBmKOcFmBwyE
Every Night - Remastered 2011,Paul McCartney,spotify:track:7zE7VClzAEYa9nUDC950pT
"Crazy Arms, Crazy Eyes",Brave Belt,spotify:track:2AbStv2LkKJYLOf4cVU9fW
Let's Stick Together,Bryan Ferry,spotify:track:6y4FVJwf09ssxuRnlEgXkp
Good Time,Donnie & Joe Emerson,spotify:track:7B4tAFVe0ijYr90M5Ryg8q
Schupfner,Rufus Zuphall,spotify:track:270UumhJaCuVcdJHaSU7N7
China Girl,Iggy Pop,spotify:track:64DytPcJMjYRzusbxIvRO4
Rock 'N' Roll Suicide - 2012 Remaster,David Bowie,spotify:track:1k5iH4KDKi56MFvlnrALNV
Peace Frog,The Doors,spotify:track:5piJiL6aRhvrKBa9YuEfS9
I'd Have You Anytime,George Harrison,spotify:track:0wZuvGn7nZbKoyKOlwZQMF
Mucho Mungo / Mt. Elga,Harry Nilsson,spotify:track:1xcJNBxc4MYFEN6UoE2HUY
Green-Eyed Lady,Sugarloaf,spotify:track:7s2orxqJ8qE0aG3Ngvct3C
Broke Down and Busted - 2015 Remaster,Todd Rundgren,spotify:track:1la9ZqFNOTYBx382tItSox
Da Guadeloop,Amon Düül II,spotify:track:13LvNfvw7YXrEk9EjXTMAn
Ride a White Swan - 2016 Remaster,T. Rex,spotify:track:01vRKzCUSI0VWLDdV7HTox
Oh Yoko! - Remastered 2010,John Lennon,spotify:track:2pNwQBjJppt8v3sZojH1aj
My Song,Labi Siffre,spotify:track:2EQWbkcNoKPOXQtJM7nqRV
It Don't Come Easy,Ringo Starr,spotify:track:4RFqi5JQduiSlRZCVlUDGH
Country Dreamer - Remastered 2010,Paul McCartney,spotify:track:5N2HMvTBFiOIMB0KqqAOPF
The Love You Gave Away,Flo & Eddie,spotify:track:2iEnvsFULad9aJVjxQ6WUn
New Church,The Adverts,spotify:track:3iMKz1CAA3jrFk9eeEQaWO
Such a Woman,Tycoon,spotify:track:3zThdcaPn3U4Gmg5B0YV9w
Chance Meeting,Bryan Ferry,spotify:track:0llhIdDXDLAkOBlGCyN4vy
You're Breakin' My Heart,Harry Nilsson,spotify:track:0TYb0coL3Jptz3Tlq1iAvK
Wolfman Jack,Todd Rundgren,spotify:track:7gYEcnIrG2MZsHHlfihStV
Just For Love - Pt. 1,Quicksilver Messenger Service,spotify:track:39MIbGjOVHGwsAQSCwI4ol
Loving & Free,Kiki Dee,spotify:track:5gN74aUmgu1PnPXqU5Yiq4
E.V.A.,Jean-Jacques Perrey,spotify:track:4nQNNwnIUUmFzVOcVVJCk1
Back To The Island,Leon Russell,spotify:track:1ctRXRqAQ10hJm6kaCZ2Lw
Ziggy Stardust - 2012 Remaster,David Bowie,spotify:track:5IyL3XOaRPpTgxVjRIAxXU
Fooled Around And Fell In Love,Elvin Bishop,spotify:track:2hE5Lm5XOHR4t3xlhIFauP
Capital Gain,Shoes,spotify:track:6x7YTNWDjlW3wwHBs4UL8t
What Goes On,Bryan Ferry,spotify:track:1pqvYA5RHViymKgmidWbtr
If You Leave Me Now,Chicago,spotify:track:0KMGxYKeUzK9wc5DZCt3HT
Station 1: Im selben Boot,A.R. & Machines,spotify:track:1yyl4U5fEYIXMAZeTJcM3j
Martin,Air,spotify:track:2XWxdPR0JZNoJiFoyh6ITF
Cadence and Cascade,King Crimson,spotify:track:68bbXTHFEo1kKjUxXZDlxw
Lost in Love,Robin Trower,spotify:track:1KwzfqosSsyCRt1MfdclEg
Dreamies Program Ten Part One - 2006 Remaster Version,Bill Holt's Dreamies,spotify:track:6ZMflVWyil6GyClmM8VsrQ
Only You (And You Alone),Ringo Starr,spotify:track:42eZC1LaQ3qioZWVLisVT6
Whatever Gets You Thru The Night - Remastered 2010,John Lennon,spotify:track:49nBXQzYNyjoBmUda3ezMf
Nobody Loves You (When You're Down And Out) - Remastered 2010,John Lennon,spotify:track:3Vt5QenAYmdNnDCp0DbsWM
Not Guilty - 2004 Mix,George Harrison,spotify:track:7ewtBCQfNha1hzKCubsufW
Hot As Sun / Glasses - Remastered 2011,Paul McCartney,spotify:track:50GYRJGsDw5j8rLsxPXX0e
Helen Wheels - Remastered 2010,Paul McCartney,spotify:track:2EzedhbZ4ivi5bdpKX0WV0
Far East Man,Ronnie Wood,spotify:track:0wwQ7SNm6rpLbLD0R8lsOA
Silky Way,Kraan,spotify:track:0JtpDnSExhSxPD9B0z2j7g
The Summit,Cozmic Corridors,spotify:track:5NiyHng9hz3334uFoocTI6
The Rain Song - 2012 Remaster,Led Zeppelin,spotify:track:3JLrri1xSCui3bzITDJbkk
Cats Under The Stars,Jerry Garcia Band,spotify:track:5s6gA3IQTbVqv8utc5jVcn
Ram On - Remastered 2012,Paul McCartney,spotify:track:6qZMXw0fs9qI8b4Nl9ntEQ
Mandocello,Cheap Trick,spotify:track:1nNfE3jM6ygHpizMMNc7p0
Rise,Louie & The Lovers,spotify:track:1NzThfr6CI8VLWvM3uQZUk
In Your Mind,Bryan Ferry,spotify:track:5zgXieiMkbFuNlcVhKGDZy
Heaven Knows,Message,spotify:track:7zYrxPRtK2ONoush921NkB
"Station 2: Ich bin dein Sänger, Du bist mein Lied",A.R. & Machines,spotify:track:7wJBe6sT9ZsiudxahUyEHX
Waiting For The Band,Nicky Hopkins,spotify:track:5CxubIDB71F4yvf49rTrYr
Jesus Is Just Alright with Me - 2007 Remaster,The Doobie Brothers,spotify:track:3voA7jcES21idqh8dflNim
In Our Time,Air,spotify:track:3vohz6GBUQfvKvNk3j98rO
All Gates Open,CAN,spotify:track:0Vi0ZnIN11Ni2JD4QH2M5i
Valentine Day - Remastered 2011,Paul McCartney,spotify:track:2ehqlczScmyeaqICVOGaDs
Small Town Woman,Mark Lindsay,spotify:track:5i3iAgyjGm2Os7TdGQ1jd5
(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,spotify:track:39iKJpLPhsDTOzH2lXliWF
Sundown,Gordon Lightfoot,spotify:track:0SjnBEHZVXgCKvOrpvzL2k
If You Could Read My Mind,Gordon Lightfoot,spotify:track:57ct8jKi6trntXiRV0NnXi
Constantly,Cliff Richard,spotify:track:3v3UfdtyWualsp0UNYmtsi
You Were Right,Gene Cotton,spotify:track:0DN0H4jgHhqwr2wVmOIU46
"She's Sweet, She's Somebody",Gene Cotton,spotify:track:1knx47c9kgjIY3qpEYxapX
Going Through the Motions of Love,Gene Cotton,spotify:track:0U9aVqusFYJxIbqjePsfH3
As Long As There's Laughter,Gene Cotton,spotify:track:1Xz0uBag3Hz0kjR6SoVSpL
Before My Heart Finds Out,Gene Cotton,spotify:track:2wzOmiSpq2WlsN6x4XkLcs
Whisky River - 2013 Remaster,Budgie,spotify:track:0YwNIYshxfWfc0Xz4FDWQ8
Symptom of the Universe,Black Sabbath,spotify:track:7vE1qmmpaWt6Z5caFGBObe
Overkill,Motörhead,spotify:track:3Staqm5EYDnYBqcwuxrWjZ
Jack the Stripper / Fairies Wear Boots - 2013 Remaster,Black Sabbath,spotify:track:6EKrBVHDk20hwjYWGPQQlF
Distant Sun,Captain Beyond,spotify:track:63YPMdjiAZySfpaPS0Lzn8
I Can't Feel Nothin' (Part 2),Captain Beyond,spotify:track:5UsBVN8eGiUs4tEITElAJ9
Frozen Over,Captain Beyond,spotify:track:28mQ206UnqNgh5dmklhrHH
After Forever - 2014 Remaster,Black Sabbath,spotify:track:3muMI7YXx7JU3yaaJzWVPw
Lord of This World - 2014 Remaster,Black Sabbath,spotify:track:3EUJS9hmoZPYCFuUctnfCz
Into the Void - 2014 Remaster,Black Sabbath,spotify:track:3ex9yveBIpssnR6sVvhwiR
Hand of Doom - 2013 Remaster,Black Sabbath,spotify:track:72YRB6ar59nBsNdnn0cVdD
Wheels of Confusion / The Straightener - 2014 Remaster,Black Sabbath,spotify:track:0zALOXEZdMLsuFAW8P8PUC
Tomorrow's Dream - 2014 Remaster,Black Sabbath,spotify:track:0FnUHRtUgopfEoIVrGfkH0
Snowblind - 2014 Remaster,Black Sabbath,spotify:track:5w091st8zPd8c01LFzTY8B
Cornucopia - 2014 Remaster,Black Sabbath,spotify:track:2LvHtTgBgNQq4Rb0Aok859
Under the Sun - 2014 Remaster,Black Sabbath,spotify:track:0T7zraoBpNHSqwyr40UrNN
Slightly All The Time - Remastered 2006,Soft Machine,spotify:track:6OZ8dtQYIcKTpNDpfA0xSF
Refugees - Remastered,Van Der Graaf Generator,spotify:track:7bw8Bq5YKEaMOwZNjylyHT
Drugstore Woman - 2013 Remaster,Budgie,spotify:track:21cyISB9pyTnhTFFAUZbyK
Hot As A Docker's Armpit - 2013 Remaster,Budgie,spotify:track:5NSeiekui8trrRPciyC1q5
Golf Girl,Caravan,spotify:track:5Zb02HRs3lExMRbuN5CES9
In The Land Of Grey & Pink,Caravan,spotify:track:4Z335bGhpA68s6sq40UDfe
Winter Wine,Caravan,spotify:track:6OgFTnpmp0lxjQ8P5dCKyH
Love To Love You (And Tonight Pigs Will Fly),Caravan,spotify:track:55ysSDylhZ0WKINeikZjSY
Nine Feet Underground - Medley,Caravan,spotify:track:0Y4Qokp46GcqB9aXX2nFNZ
Black Sabbath - 2014 Remaster,Black Sabbath,spotify:track:0xIZPPBfLqQEAj1BLmGrNc
The Wizard - 2014 Remaster,Black Sabbath,spotify:track:6sjTzevtstOxOMsFsypsEm
Wasp / Behind the Wall of Sleep / Bassically / N.I.B. - 2014 Remaster,Black Sabbath,spotify:track:4hx9RvP93j79EJLAiyJQoI
Wicked World - 2013 Remaster,Black Sabbath,spotify:track:7n5JBulRFW7P1WqjhhjbrI
A Bit of Finger / Sleeping Village / Warning - 2013 Remaster,Black Sabbath,spotify:track:01xU5pDHQ8FfVhEi98UFMY
War Pigs / Luke's Wall - 2014 Remaster,Black Sabbath,spotify:track:2rd9ETlulTbz6BYZcdvIE1
Planet Caravan - 2013 Remaster,Black Sabbath,spotify:track:2VDg6h3Qr3F8UuFVInQxE6
Electric Funeral - 2013 Remaster,Black Sabbath,spotify:track:7As8h8LJTMIritB8QwSmqr
Rat Salad - 2013 Remaster,Black Sabbath,spotify:track:2b8xbWvck5yh9vvEogsfqa
Embryo - 2014 Remaster,Black Sabbath,spotify:track:1vlEf0z4nKmArCxE13H3UU
Children of the Grave - 2014 Remaster,Black Sabbath,spotify:track:5clz8BOBulxx7q2yHxqOCk
Orchid - 2014 Remaster,Black Sabbath,spotify:track:7f5pVscGqWGPmzyAJ3thAI
Solitude - 2014 Remaster,Black Sabbath,spotify:track:0wjptUxT1jhKZ3Xm4lX8OF
FX - 2014 Remaster,Black Sabbath,spotify:track:3tZEhhWeo5y5fNZG4ucTPe
Laguna Sunrise - 2014 Remaster,Black Sabbath,spotify:track:28rnaH091tr3WwaP87faiC
St. Vitus' Dance - 2014 Remaster,Black Sabbath,spotify:track:4N7sL7z89xrHqa3Tml0J56
Sabbath Bloody Sabbath - 2014 Remaster,Black Sabbath,spotify:track:2bku1YWarHpKlxVC2FB9dH
A National Acrobat - 2013 Remaster,Black Sabbath,spotify:track:0QuclG0uX1lm9E7uRfVWzc
