HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt
The Green Years,Sad Lovers & Giants,spotify:track:5VjWQEdhRHKTPpWtSKZP51
I Can't Go for That (No Can Do),Daryl Hall & John Oates,spotify:track:41dDygR3r7e926oGUXfrLt
Freakman,Empire Projecting Penny,spotify:track:6G8AvALJn3icFeT8ta5R7m
Cat House,Danielle Dax,spotify:track:053m4id9rWaV51dCV5sqts
The Offer,Wire,spotify:track:3RQNjdLYbaQYRFb9x5t0dE
In The Air Tonight,Phil Collins,spotify:track:7Dbg5O9nNWu6SWxDjJ9qoq
Set The World Afire - Remastered 2004,Megadeth,spotify:track:2TLNPA3qCpcVor2cuMZ3RA
"I Should Be So Lucky - 12"" Remix",Kylie Minogue,spotify:track:4Nmy9cYnTnJlBeyzAYgg24
Swords and Tequila,Riot,spotify:track:3lJqE5AKrrFDFdhDyB0kqx
Get It Up,The Time,spotify:track:24c5K2qEq2wsBoIHveWPmW
Space Age Love Song,A Flock Of Seagulls,spotify:track:6EwlLu39JZTDTJnnjFe07g
La vie en rose - Single Version,Louis Armstrong,spotify:track:1UH4viviUjZnS9aWgPGrk0
"Let's Go Together - 12"" Paul Hardcastle Remix",Change,spotify:track:6vB34PrTcys2oSu0LbzBtM
Greater Reward,Severed Heads,spotify:track:7FmCkCj2ojZBOUa6RvNEc4
Cloudbusting,Kate Bush,spotify:track:5atQ2haKP5LT65WM0KUts3
Bark at the Moon,Ozzy Osbourne,spotify:track:2E7W1X4maFFcjHrVrFA7Vs
Are You for Real,Deodato,spotify:track:7llHnRn4liWARTAyJZ8XOp
The Breaking Hands,The Gun Club,spotify:track:0sGbiOI0Osyu3xqwEv9VqZ
King For A Day,Planet P Project,spotify:track:7zcqwuJkTr8oZ1VnUSbLGN
Metal Militia (Remastered),Metallica,spotify:track:6yPJaDkXDkFU9YSzWl8wuD
Legs - 2008 Remaster,ZZ Top,spotify:track:7t6CAWplijBj4sdl0q3z0e
Woman,John Lennon,spotify:track:1BrbXIJ7b161oQ0PfC0K32
Yearning For Your Love,The Gap Band,spotify:track:00jusKdEnHrRUmXIddEsd0
Breakaway,Pure Energy,spotify:track:2LQGFyRIqzKJqQlU9keoIE
Ski Head,Frazier Chorus,spotify:track:1fRchQlgigH8fbByH1HCEc
"Song From The Edge Of The World - 12"" version",Siouxsie and the Banshees,spotify:track:2doflVxSbsPqmSTiPZLv6G
Ride The Lightning (Remastered),Metallica,spotify:track:36DLF96pjKydN0MZtsahQz
Breakout - New Rockin' Version,Swing Out Sister,spotify:track:4KNVSkQx3YFg1wpPg1vyhF
Holy Diver,Dio,spotify:track:54yLLvpezvPO1lA3GspiZj
Here We Go,Minnie Riperton,spotify:track:4Ro6O6zW2bNaHLNVGixHwF
EsotÃÂÃÂ©rico,Gilberto Gil,spotify:track:12hYZFVdD6eniWT0FN1vBE
"Sexy Dancer - Original 12"" Version",Donald Byrd,spotify:track:0mxZOrwuH1mAM6WHTlMmv5
Menergy,Patrick Cowley,spotify:track:4HXwDy2cCdbTOShX3Tbp4g
I Just Can't Stop Loving You - 2012 Remaster,Michael Jackson,spotify:track:2fytePz8UsbUr8n33QBEcm
Blue - Live in China,Wham!,spotify:track:3ZMsYrDiVSxW8k2NRq3VxI
Pocket Calculator - 2009 Remaster,Kraftwerk,spotify:track:6bDRVbdZEyBnmOX0Yjh5rf
Breaking the Law,Judas Priest,spotify:track:2RaA6kIcvomt77qlIgGhCT
Looking For A New Love,Jody Watley,spotify:track:5BqE0vLMl36uMLKzecsIfw
Green Eyed Paradise,The Petards,spotify:track:7F8yTSGJt21ZRz67ZPqbzO
Einstein a Go-Go,Landscape,spotify:track:4x5jyStHv5sb5OqPHPVZip
"I Know You, I Live You - Remix",Chaka Khan,spotify:track:2z3RbpUMiZUm9dcVlR6ybl
Whip It,DEVO,spotify:track:4sscDOZCkbLSlDqcCgUJnX
And the Beat Goes On,The Whispers,spotify:track:7oQ1wkBmYSBEC2x7U08dvn
Turbo Lover,Judas Priest,spotify:track:6c0OdfIJ9hn0IsS4JGycQV
"Checking You Out - 12"" Mix",Aurra,spotify:track:1iuP8uxFfScBFYoT8Km69l
Call Me (Theme From American Gigolo) - Remastered 2001,Blondie,spotify:track:6wzbWsPbfIR0nBjSqdbV7m
Sometimes Love - Ozone Club Mix,In Sync,spotify:track:36bqGaXbPopt8mDAETsx1N
R. P. M.,The Four Speeds,spotify:track:1ckFT0Nz8gOZPBygtf8uHP
Girls,Beastie Boys,spotify:track:5h40ovzXu7rF7Giwb9oXYy
Body And Soul,Sisters of Mercy,spotify:track:44b1lA1vZvg3o5cIenh7lA
Over There,The Connells,spotify:track:69o0YcRZN1gPxn6rD9ni9Y
Wild Child,W.A.S.P.,spotify:track:1aPQhwQfYSYM81SVDeC92T
Contramio,Moebius,spotify:track:144Us5FMPFz6SX0utMHk0s
"Just Got Lucky - 12"" Remix",Jo Boxers,spotify:track:0Qm2xRM13oif9V1cdco1P5
Private Idaho,The B-52's,spotify:track:1y5V5qja332UyMeUurFhDS
Star Struck,Cheri,spotify:track:4aUzgh460ecOoMhM3jIAen
Teardrops,Womack & Womack,spotify:track:34zDwAdksPXYzGINUT0oW7
Hit and Run,Total Contrast,spotify:track:0xNIxTsdQ2S1DIkrguXRWd
"America - From ""The Jazz Singer"" Soundtrack",Neil Diamond,spotify:track:5mY04rUWixYG9amFzMJDhI
Alive And Kicking,Simple Minds,spotify:track:1bWeLRzg1BxZpPfEMkbsnN
Set Me Free - Special Extended Remix; Mark S Berry Remix,Jaki Graham,spotify:track:4Cg2wFUaLUJtrjAy466l4N
Don't Lose My Number - 2016 Remaster,Phil Collins,spotify:track:2ZIzyHDYsXIHUojfr6bAbO
Jailbreak,AC/DC,spotify:track:5UKeFkVeUfvP6S43I8s9mt
Good Golly Miss Molly,Little Richard,spotify:track:6KrA1XLt4tatVEddfjABZg
Dance with Me,The Drifters,spotify:track:0fFY4JvHfSkChtwlGNtE38
All or Nothing,Fiction Factory,spotify:track:6O0uVft7WNJfj3pp7PePti
Vacation,The Go-Go's,spotify:track:0oc7YoWV783fGr2GbdcIrz
Still Life - 1998 Remastered Version,Iron Maiden,spotify:track:1KlJjQ2bxKkQ0agBHEnHPD
Sole Survivor,Blue ÃÂÃÂyster Cult,spotify:track:2PicnFqnuKd9EwHp2xQvcn
"The Freeze - 12"" Version; 2010 Remaster",Spandau Ballet,spotify:track:7k6rPU5HrC96cQ9vERgsRn
Watch You Drown,The Only Ones,spotify:track:4yo7jxtR9u6Pvvp4FpunuF
Undercover (Of The Night) - Remastered 2009,The Rolling Stones,spotify:track:4N8oxV3hvn8Efyo4yxp3LG
Peek-A-Boo,Siouxsie and the Banshees,spotify:track:3VkyKA0iCT1ABwaSjb0kpf
Potential New Boyfriend,Dolly Parton,spotify:track:3MdeQLBucaBqQ83xiyp0MP
Rock the Night,Europe,spotify:track:4NffXDmI70vw19P5Efoe0T
You Make Me Feel so Good - Flutter Mix,Book Of Love,spotify:track:7nj6u3eix4uZA8JF9AGxtp
Vuelvo a Ti,Manolo Otero,spotify:track:3X3vTW43XBOkriNzZtrine
Truth Of Self Evidence - Extended Mix,Reese & Santonio,spotify:track:0E7RYRVeaRcOL3ucFedfi0
Woman In Chains,Tears For Fears,spotify:track:5N4eBWsckD3AgTQFGLQEeU
Disposable Heroes (Remastered),Metallica,spotify:track:2CbYOuq9uxqclV21HJaJ4B
White Sweater,Romeo Void,spotify:track:6PVFnaNec1JoGnzWzcsq5D
Practice What You Preach,Testament,spotify:track:1KmX2Q8IwwLY2AMIMOmYlw
Take It To The Top,Kool & The Gang,spotify:track:4KEtcU39s4wPgZn5M9qbGo
That's All - 2007 Remaster,Genesis,spotify:track:2zFdsAIk9r2Mi7Lmm1w3sM
I'm Only Sleeping,R. Stevie Moore,spotify:track:0wEHXrtU3KR5jOZXoBJWWs
Escape (Remastered),Metallica,spotify:track:4SlFMlB9eD0Y48RXVp1ixR
Metal Storm / Face the Slayer,Slayer,spotify:track:4C74AnY1AehCfsDaoPfsGs
Anti Midas Touch,The Wolfhounds,spotify:track:7p1jnMmX3v3cI3MLXJTcQi
Crazy In The Night (Barking At Airplanes),Kim Carnes,spotify:track:5UMWmHdI90c1w7Vx7Rorne
Pandora (For Cindy),Cocteau Twins,spotify:track:2h9IbUdeKAR7KOMXxfgQOq
The Blues Man,"Hank Williams, Jr.",spotify:track:5IirHic5goVkgpxyur1lmh
Monkey Gone to Heaven,Pixies,spotify:track:1lFC3sMgOcDrVzNh8zXRnl
Surfin' USA - Summer Mix,The Jesus and Mary Chain,spotify:track:0lBoUrZd57LYgTAPIIcluQ
The Trooper - 1998 Remastered Version,Iron Maiden,spotify:track:2pxAohyJptQWTQ5ZRWYijN
I'll Be Good To You,Quincy Jones,spotify:track:4cLXNwNqXWT1CTR5Gyr7ei
Nightclubbing,Grace Jones,spotify:track:6HtaNO5421LSm2ptodKLQ1
Money for Nothing,Dire Straits,spotify:track:4yqtwO7MQIIXqoiRBPHAgR
"Relax - 7"" Mix",Frankie Goes To Hollywood,spotify:track:3MIVb9pn5cDSdK7yNDsMU1
Mr. Crowley,Ozzy Osbourne,spotify:track:5XfWzGa5zuz88IOYbWNTMa
Is It Love,Machine,spotify:track:0RGyL2izi5Hz6pUKIeajCC
Summer in Berlin,Alphaville,spotify:track:7vVjQjtbBqwMqjzf72Qplh
Disposable Heroes,Metallica,spotify:track:37wVVs5OLy6mUOxUf8DYsp
Beat the Street,Sharon Redd,spotify:track:41F97acqBc7aMzwD224kRR
Just an Illusion,Imagination,spotify:track:4QT3YKobBj4BI7xCYRLr9u
Shadow of a Doubt,Roxette,spotify:track:36IA6g0U4fEpiKLdkIhnE0
How Soon Is Now? - 2011 Remaster,The Smiths,spotify:track:1YrnDTqvcnUKxAIeXyaEmU
Speed Racer,DEVO,spotify:track:7bimKKshu7lWrksVv5lTEh
Don't Close Your Eyes,Kix,spotify:track:7wrBlgNqYBAC5yFfO4fnYb
Diary Of A Hollow Horse,China Crisis,spotify:track:3lkpP22eO1Wm57Uy6Zf1NI
I Commit to Love,Howard Hewett,spotify:track:6JtKnDU0g08EoAHpae33Aq
Crackpot History And The Right To Lie,Adam Ant,spotify:track:13BBmTSPrRlViMgW04GBLj
Blue Monday,New Order,spotify:track:6gv02BqPCsOQz5QQ4jnNOY
Magic's Wand,Whodini,spotify:track:5Uy9fW6nTtJWgfZGBRd0lo
Feel My Love,Vaughan Mason,spotify:track:4YBkvX49JKn9hZYGuRFmxW
Tell Me Easter's on Friday,The Associates,spotify:track:2uEYuDPK1GsyMr3dUD46ZM
We Got The Beat,The Go-Go's,spotify:track:5kz9GDBTX846OXwqWoyKzF
Magic Number,Herbie Hancock,spotify:track:4ui1gcrkPyRYmhbv6sZK1x
Michael Caine,Madness,spotify:track:3t8XII1JZeE1Frzc6kxAmQ
I'm So Excited,The Pointer Sisters,spotify:track:2u8MGAiS2hBVE7GZzTZLQI
Digital Display,Ready For The World,spotify:track:5x3kcE79Xy4naWE605PCOv
Big in Japan (Extended Remix) - Remaster,Alphaville,spotify:track:3pUZXHvnTO2R5yyNxELzrj
Don't Dream It's Over,Crowded House,spotify:track:4rr67zXmEYf9ykLigeEsbv
Think,The Blues Brothers,spotify:track:6kie23fo40j9gBNWGWg5Dc
Boom Boom,Paul Lekakis,spotify:track:6QypjtLLKmIyLZqnOli07s
Riding on the Wind,Judas Priest,spotify:track:1ANeAe0lHZK2e5n8nPGbPm
Hot In The City - Exterminator Mix / 24-Bit Digitally Remastered 2001,Billy Idol,spotify:track:65EBt4EMgoHwpBaGyUWqWH
Chetu,Bengt Berger,spotify:track:0vIrBoL76snu42nVzHm2fx
Seven Wonders - Extended Version; 2017 Remaster,Fleetwood Mac,spotify:track:6Hy9jV0oRaHp7iq99AiPkf
In the Night,Zenobia,spotify:track:4mmno0L22X4QJHxCpKBsgY
We Love You - 12'' Version,Orchestral Manoeuvres In The Dark,spotify:track:5asGqTqDfnz7JyY6C6uLOd
Voices,Russ Ballard,spotify:track:1E6caAhjKnBEGcO4tgoVJ0
June Rhyme,The StingRays,spotify:track:2yUeFmZd3UsILuxaiKbjME
Echo Beach,Martha and the Muffins,spotify:track:49wHCjiu34kM3VRgumQ1tJ
The Things That Dreams Are Made Of - Original Dub Edit,The Human League,spotify:track:7KrR9s8HsCzYbLCZzZASDK
My Baby - 2007 Remaster,Pretenders,spotify:track:6kpDRDU50wYcRQPvFFeLXG
No Lies,The S.O.S Band,spotify:track:4Ap2WDauABGO1s2DvOoJXg
Heartbroke,Ricky Skaggs,spotify:track:0YmJV2KQEnfLgvAynP3J4i
I've Been Tired,Pixies,spotify:track:2RYe8B8dEfsqzwQYFaKNfD
We Can Work It Out - Remastered,The Beatles,spotify:track:3kEGnFqRfa5Ofhayh5LeWP
Keep It Confidential - Special Extended Club Version,Nona Hendryx,spotify:track:0jNe7HBcm8uT63SmIIivSe
My Kinda Girl - 12-inch Version,Babyface,spotify:track:6T9fBLAgqGjFMxZeIVdXpG
Living On The Ceiling,Blancmange,spotify:track:7ygp7PFQu9oYlV72tSd2Wz
Listen to Your Heart,Roxette,spotify:track:78TnMTAFmWUWWCgNXR7D3K
"Gypsys, Tramps & Thieves",Cher,spotify:track:2Bh4Ty1RSKOWCS2nYvhiKx
Flavor Crystals,Suburban Lawns,spotify:track:4bMxKc2YIAWcJOZHEEitCs
Twist My Arm - Dance Mix,The Pointer Sisters,spotify:track:1AyEb9quZ4edoGInjekoph
Let the Good Times Rock,Europe,spotify:track:15IIX1UWBAb47lQVKdmSwh
Ninja,Europe,spotify:track:78VKslX5334B1u09VzgBU6
Tonight,Xymox,spotify:track:1k0hVnDK05NbxDAzw7U0Jl
Never Give You Up,Sharon Redd,spotify:track:2SJW2HmmOJBVAE3slly9UM
Still Loving You,Scorpions,spotify:track:6KGXbG5wEb6WlIFAGKDQh0
Never No More Lonely,Fingers Inc.,spotify:track:3vvFD7Vd5gANTraXckJeuu
Icing On The Cake - Remix,Stephen Duffy,spotify:track:3NlY9g5kBnaW88n7PRN6R6
I Want to Know What Love Is - 1999 Remaster,Foreigner,spotify:track:1JLn8RhQzHz3qDqsChcmBl
Keep Giving Me Love - Album Mix,D-Train,spotify:track:1IjOQR8vUV2pKBoXn5RKjN
Worlds Away,Strange Advance,spotify:track:3s291phVQm0c3jV2QP1FNl
Dangerous,Pennye Ford,spotify:track:1G4iJnn3Ga1cZMiLRRbLss
Rock The Boat - 12 Inch,Forrest,spotify:track:3eRnBPaN8V8zeDh1wX2PHQ
Inbetween Days,The Cure,spotify:track:4CRpOsjhvgxjF7rQufmyZ1
Requiem - 2005 Digital Remaster,Killing Joke,spotify:track:29QxWOqd1z0HynG72mAEqn
Take a Risk - Remix,Empress,spotify:track:4NDhPOqz16QNSJKWfdWvXO
"Work That Body - 12"" Mix",Diana Ross,spotify:track:4GsXCOTyRYQw0x0eKxZ5vT
The Sign of the Southern Cross,Black Sabbath,spotify:track:2QCneTlATXJ36rlvo4zEJu
"Love Fever - 12"" Mix",Gayle Adams,spotify:track:6wkEjPKWtX1g76S543rpk5
Nobody Told Me - Remastered 2010,John Lennon,spotify:track:31QuJZfFiMk1uOawow8ejS
I Did It For Love,Harlequin,spotify:track:6pUJfG3K7UwUo0xnColyrW
Saddle up a Buzz Buzz,The Cramps,spotify:track:4FgRy1RmEg7qROJkHKzndV
Fish,NaÃÂÃÂ¯ve,spotify:track:0mCzilHAvoMdHDDMtH8Um1
"Pleasure, Little Treasure - Glitter Mix",Depeche Mode,spotify:track:5N5cK2QxRBd0416y3Ax6pV
That's Good,DEVO,spotify:track:0rVbLdk2mZf0w90Xh69mjC
Love To Stay - Extended Version,Altered Images,spotify:track:1nwLu9LCML6XP1vSg5g8Sk
The Character,Morris Day,spotify:track:3kTocmZW2UswtkKFfCNCOg
Crazy Train,Ozzy Osbourne,spotify:track:2b9lp5A6CqSzwOrBfAFhof
Don't Let Your Chance Go Bye,Watson Beasley,spotify:track:5LGj4p0sc2x97w9iwRrQPy
State Of Independence - Single Version,Jon & Vangelis,spotify:track:0NiNC1NY8dhv33MwJQfbXY
Waves,Blancmange,spotify:track:210fuXISFCXQCvRvWzoXgW
Kickin' Back,L.T.D.,spotify:track:69YMIDcVsmY18pTUy7JH0X
Give Yourself to Me (Little Louie Vega Club Mix),SÃÂÃÂ¤x!,spotify:track:1YqG4tR6BFRQDGcydbKxph
The Prisoner - Edit;1998 Remastered Version,Iron Maiden,spotify:track:7rGP9QtRK9rXLjDns1duym
War Games,The Monkees,spotify:track:753y0F7xF4K5fzHx0L5X0e
QuiÃÂÃÂ©n Como TÃÂÃÂº,Ana Gabriel,spotify:track:63jEwYOOYRX67nfR2UB3Ij
John's Lost,Blue Zoo,spotify:track:2YaZWm06qhzoVDZYORd96h
Prove Your Love - House Mix,Taylor Dayne,spotify:track:7Dt9TB7UwknuA4PIgsTrO7
Electric Blue - Extended Mix,ICEHOUSE,spotify:track:0HCpdWNPxhuheAViyzwlqD
Maneater - Extended Club Mix,Daryl Hall & John Oates,spotify:track:0St25ApwD8XWDvhseM1b6C
You Never Can Tell - 1986 Stereo Remix,Chuck Berry,spotify:track:2xd1YFCq6W9kYNfjvCnGyT
Well I Wonder - 2011 Remaster,The Smiths,spotify:track:3OS4XXm4S42pnESQmtN9MG
Show Me - The Latin Rascals Florida Mix Edit,The Cover Girls,spotify:track:6CUZaXN2meDtMVwbpsV1Fd
Alien Boy,Wipers,spotify:track:4PkTIePqv2jCSle1vlUaBX
Under the Floor Again,The Damned,spotify:track:3LlK6EuOcnAoZoaqDv8sME
Judy In Disguise,Silicon Teens,spotify:track:3qGPeToqNIZHsfDSkHddO0
Eat the Rich,MotÃÂÃÂ¶rhead,spotify:track:7GVwYZGWFXmRnXQkm2pO8S
Temptation,Heaven 17,spotify:track:4CoAskZvIN9hsAN5R7UXZG
Time Will Crawl,David Bowie,spotify:track:58HRiPyJSWryB8w5bIjE2p
On The Beat (Extended Version),The B. B. & Q. Band,spotify:track:2MaqtushLYcJRjvYqzUr9h
Still Of The Night - 2007 Remastered Version,Whitesnake,spotify:track:7cvzMbuaFpFH3ZkutMcfNc
When Boys Talk,Indeep,spotify:track:6tqfE781Be3XBUFowp8ulU
Once In A Lifetime Groove - Extended Version,New Edition,spotify:track:7M36O6XfFHBd2dt598JPD7
Freewheel Burning,Judas Priest,spotify:track:6aQBzaeOIajIPGAMzqa23J
"Yesterday, When I Was Drunk",Gangway,spotify:track:02IjJU1oeCl6USf9HrHhkY
Yellow Sky,Book Of Love,spotify:track:4fO1uGMYsh4tZUAln1AVyv
Too Much Blood - Remastered,The Rolling Stones,spotify:track:5tSTWhMTSGAvbJsyUP79kf
Jolene,Strawberry Switchblade,spotify:track:0QuhjashnGYDOdAtfUl9PA
Secret Life,Soft Cell,spotify:track:3iOvak54N29iLEA5qKwyrH
Street Corner,Ashford & Simpson,spotify:track:5wmZnefc6XBPiEI3yqIVgg
Shout,Tears For Fears,spotify:track:0f798jZ9aYI34zo4lchKd0
Death Valley '69 (W/ Lydia Lunch),Sonic Youth,spotify:track:6Ov1uV2DCipJwj4q04Wc75
Last Perfect Thing,Wire Train,spotify:track:45ZxkwYPzHKBLbdKqSU2xG
Do Me Right,Dynasty,spotify:track:3eXrVQcGHcDIEj7CiWl82y
Orion (Instrumental),Metallica,spotify:track:5qp4uB6muUB0qdrb4zpuf4
Japanese Boy,Aneka,spotify:track:4VmmNHz5nigftA0B3GR0M5
Bible Dreams,The Wild Swans,spotify:track:1mKAhyFjC8ntvbyxv4wfdh
The Jet Set (Jellybean Mix) - Remaster,Alphaville,spotify:track:6VHFJH8SoMMcDgo7pSalOo
Head Hang Low,Julian Cope,spotify:track:4Ym3JyB1qTYr5Koi6aTLyQ
Take That Jerkin' Off!,Sophie & Peter Johnston,spotify:track:1Owo8bMwrC5kpuzWWJmT3B
Hidin' From Love,Bryan Adams,spotify:track:6WCYqTLz9Itlg5pQzwPWWT
Change - 2005 Digital Remaster,Killing Joke,spotify:track:6SLDcllLfIgLJHfP2SH73a
Kiss on My List,Daryl Hall & John Oates,spotify:track:7cDzJyC95jtGO9zAeZsWOg
Can't Hardly Wait - Outtake - Electric,The Replacements,spotify:track:57bOmBxu4t5vtlsI88tdRH
22 Acacia Avenue - 1998 Remastered Version,Iron Maiden,spotify:track:61ngZC6kGgGgFyvApaovRi
Run to the Hills - 1998 Remastered Version,Iron Maiden,spotify:track:2JS1iE5A5RHvUPH5Zl9jlF
Who Got My Natural Comb?,Ted Hawkins,spotify:track:37OdZpoNht3O0zLHk2erkM
Head to Toe,Lisa Lisa & Cult Jam,spotify:track:5VzqFMyPERPObMOzZdELuK
"William, It Was Really Nothing - 2011 Remaster",The Smiths,spotify:track:6SwqPZs0XuSnyqkbnkkAjQ
Surfing with the Alien,Joe Satriani,spotify:track:2ekfM9Dcslm7l9Lh7HGT0i
Tell Me What,Fine Young Cannibals,spotify:track:0wwncW71UeBHTzjtz8mcZx
Raining Blood,Slayer,spotify:track:01Mpj13vURSO3cCLprPt5T
Primary,The Cure,spotify:track:2FyAJQU6c4xd5jBAcHNoiW
Wasted On The Way - Remastered,"Crosby, Stills & Nash",spotify:track:3LMe4h7CrPLJrViTVzfDot
The Whore of God,Ultra Vivid Scene,spotify:track:23J7ttHINVXB31pPlr5Vde
In Love And In Life,Blue Zoo,spotify:track:6ugHDqK9X6wQ6cgmcljkrv
Scars of Love,TKA,spotify:track:4EEBsmJOKF3KvfiyKSuDMV
Sweet Caroline,Neil Diamond,spotify:track:3298yRJKPcCndQdNiTZKIo
Homebreakers,The Style Council,spotify:track:0MJfapwqgHn1rVPcG5ux3N
Danger On the Track,Europe,spotify:track:5cUENUZPejtoGUs8ScWh33
Shame - Dance Mix / Remastered Version,Eurythmics,spotify:track:4bTiaoGFzLEgtPNtk3vpMt
Can I Play with Madness - 1998 Remaster,Iron Maiden,spotify:track:0der44SzM8j3KYyB9HZQPj
Stay,Frankie Valli & The Four Seasons,spotify:track:4BcqoUFn06wfmUNNt8cKwK
Holy Diver,Dio,spotify:track:57fqmDaokbxZ3TaB0jp39q
A Touch of Paradise,John Farnham,spotify:track:2qYEr60oPI6qIjF4KLQUr0
Black Metal,Venom,spotify:track:3yNoEJifUJdly8ucYoWRwl
Too Young To Fall In Love,MÃÂÃÂ¶tley CrÃÂÃÂ¼e,spotify:track:2rVZC1JG8pBIuUUdrpvjPx
Tonight,Suzy Q,spotify:track:6CTv5qKVvkxsvSRQfC6SjO
Aaj Shanibar,Rupa,spotify:track:6EEpz2tuKJ2nBSi8LR1Jv3
In The Night,Russ Ballard,spotify:track:30ObagBnGn6L0R1QZWo9QQ
I Want To Walk You Home,Fats Domino,spotify:track:0bnzRp6ghPlYV9lCubDtDA
It's My Turn,Stezo,spotify:track:5qZwoazbYFPyCbj4sHQ2sE
Out Ta Get Me,Guns N' Roses,spotify:track:5x6alRKb9sdCidGQz5luEd
No Remorse (Remastered),Metallica,spotify:track:1j90Mz6iIuuK4uiqXYVcQf
Not Gonna Do It - Bam Bam House Mix,Vicky Martin,spotify:track:2wGucswK3lUmV9sWM4RebM
Going Under - 2010 Remaster,DEVO,spotify:track:3eIXGN28FDchhB6QxOLYU5
Al-Naafyish - Time,Hashim,spotify:track:1ZWP9VUefoGj29xGqc7wS6
Arizona Sky,China Crisis,spotify:track:1Q7WESlT4IzkopWxv810Sq
She Kills Me,Biff Bang Pow!,spotify:track:7446MVezjfItvk3QzTdx4K
96 Tears,Thelma Houston,spotify:track:74DEoF1008VMfmX5Wk9UR6
War Machine,KISS,spotify:track:38fz09EpYBrbPDjw3R65I7
The Spirit's In It,Patti LaBelle,spotify:track:7rhAFfiugCDMaNDXQImtF9
Fight For Your Right,Beastie Boys,spotify:track:5NLuC70kZQv8q34QyQa1DP
Temporary Secretary - Remastered 2011,Paul McCartney,spotify:track:5L1MJ6tSoNlng4BxhTSiXt
Heaven (Must Be There),Eurogliders,spotify:track:3XgQfK1XehwHvEtjvyoZB9
Maneater,Daryl Hall & John Oates,spotify:track:7j74lucZ59vqN67Ipe2ZcY
You've Got Another Thing Coming,Judas Priest,spotify:track:4f3RDq9nYPBeR1yMSgnmBm
Groovitation,Deodato,spotify:track:23wMFOQDs6wA1Dux84tR8G
Mind Games - Club Vocal,Cultural Vibe,spotify:track:5OtZpy3B2FI3T3zoTlhUhH
A Little Respect - 2009 Remastered Version,Erasure,spotify:track:7aS418hRnOnYrXeyrZilwk
Love Action (I Believe In Love),The Human League,spotify:track:5RBPXlIiZVrr8hab7LpRJB
Rainbow In The Dark,Dio,spotify:track:5qFxuUIAwJlzO60vqOiL7y
Incense And Peppermints,Strawberry Alarm Clock,spotify:track:20MBLB1TCm3tQK3XZlHXTK
Borrowed Love,The S.O.S Band,spotify:track:6jWQopq7ozennHIAMD3CiL
Memorabilia - Extended Version,Soft Cell,spotify:track:0ko4ceSFYTNfDsGwzZ8CDl
Take Me I'm Yours,Mary Clark,spotify:track:3rv2u0rfXCZrUoeposkCML
Medicine Show,Big Audio Dynamite,spotify:track:4ArtWWANopFCYP9HO1eOUg
Funny Face,Sparks,spotify:track:1nX5aaUfpqTgOBcshlqosf
She's A Woman - Remastered 2009,The Beatles,spotify:track:6vsb1bU8oW7iqtjH2GeEaS
My Michelle,Guns N' Roses,spotify:track:2dyfo7lqKI7NtSAhUZwnoJ
Trouble in Paradise - Remix,Sylvester,spotify:track:6sU4hJYd3XHcnAqNawxEzU
"I Second That Emotion - 12"" Version",Japan,spotify:track:2diCVWQfGlGDXbTPviHxwC
Working for the Weekend,Loverboy,spotify:track:35k31HZI4z9PbBOioaI4dZ
Respect,Aretha Franklin,spotify:track:3OYh9wHWqWD6bpmO3WQNlM
Personal Jesus - Pump Mix,Depeche Mode,spotify:track:4VsUr61aYOGjA25Jt7jkWy
C'Mon and Get My Love (feat. Cathy Dennis) - Dancehall Mix,D Mob,spotify:track:4bDHHFZCCBvliAZA6yoGOL
A World of Our Own,The Seekers,spotify:track:1DVTwlo4nWm41i91rN4xqh
Jump To It - Original Extended Version,Aretha Franklin,spotify:track:1wGqSAH3JAMNoxL72pOWO3
Always Returning - Remastered 2005,Brian Eno,spotify:track:1ps5sx71OhHiBVmGiKQSne
I Wanna Take You There (Now),Gino Soccio,spotify:track:59K3ZR73aBlNdOL23ro2uE
Careless Whisper,George Michael,spotify:track:2R7858bg0GHuBBxjTyOL7N
Divine Emotions,Narada Michael Walden,spotify:track:2JlYX5EawTwTjwa6z7DGjD
Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,Stevie Nicks,spotify:track:66LhCsc06aTa2Ig7iYPDSP
She's Leaving - 2003 Digital Remaster,Orchestral Manoeuvres In The Dark,spotify:track:3qAEEfC57OI4SCuj7Zk5va
Shine,MotÃÂÃÂ¶rhead,spotify:track:7KUbDedhrGzyoYwS1RJqmv
White Car in Germany,The Associates,spotify:track:2xcy4i0fIJ1Q4GadcLsSu9
Passion - Long Version,The Flirts,spotify:track:58bw9vMQbm1rthjazZWXTN
The Party's Over - 1997 Remaster,Talk Talk,spotify:track:51okCat2x9GxNUH5tuJ4ej
Hypnotize Me,Wang Chung,spotify:track:59d4ueObaAstLAQCqrRiUN
Swimming Horses,Siouxsie and the Banshees,spotify:track:7IbyGtg6Ujai5JXAK2Arlj
Born Again,The Christians,spotify:track:6X3GYK1TuhhCAh4kf9CqSr
Don't You Want Me - 1989 Remix Album Version,Jody Watley,spotify:track:37N9gehTNRq1N5XwhJGLef
Girl from Ipanema Goes to Greenland,The B-52's,spotify:track:0Q1e6S8IPsoiz8K6rh72UP
