Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
"Problem Child - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",AC/DC,spotify:track:0fUyiY8d2SxITRs5cJWR4X
"Dakota the Dancing Bear, Pt. II",David Allan Coe,spotify:track:6YMUxXTDmU5ROJVGdZVxt0
Frozen Over,Captain Beyond,spotify:track:28mQ206UnqNgh5dmklhrHH
"TNK (Tomorrow Never Knows) - Live From The Queen Elizabeth Hall,United Kingdom/1976",Phil Manzanera,spotify:track:30X9TJeJ6FIgU6g7OWIRPe
Mercedes Benz,Janis Joplin,spotify:track:1MntHPLU1T7a9W4tojbg8g
Maya Love,George Harrison,spotify:track:4Ou86mbpOqZMtoE9BJLmjH
J.L.T.,T2,spotify:track:7mn5Ezb8ikURiIEjVU1de2
I Want It All Now,The Tubes,spotify:track:5zbw7FqsRZKURzxvfXeNao
What Is Happening?,Byzantium,spotify:track:1OyAftpC9bYyuSR0Jt5wu0
Rainbow Song,America,spotify:track:7d1xa1Kmpxjn5cKCfq28kt
Loran's Dance,Idris Muhammad,spotify:track:1a8VGp9Ossi9NJ6yIiLRYi
Never Say Die - 2014 Remaster,Black Sabbath,spotify:track:0w24uOUM9O7Jli66Mx5RIf
Get Off Of My Cloud,The Rolling Stones,spotify:track:2qTgW3UqBfDr1WU7IvjGBg
Little Sunflower,The Louis Hayes Group,spotify:track:4y209r5u5UccR0XKFP1sB1
Stranger in Blue Suede Shoes - 1999 Remaster,Kevin Ayers,spotify:track:5fyCT0lEtT7A3ub7EFTWDW
Over to You - 2014 Remaster,Black Sabbath,spotify:track:3fCKNf4xWbPmrtKOvj0LzP
Piece of My Heart,Big Brother & The Holding Company,spotify:track:42VJXdnw3scIYM0fPVzb7D
The Sad Skinhead,Faust,spotify:track:4WJEsaMmXfXnuVTArWEaRT
Ivory,Dust,spotify:track:1sM2Dtxa1fWdlioa6v1W1T
Dog & Butterfly,Heart,spotify:track:00r40cNOJTjlNw5cG4ADHf
"The Second Time Around - 12"" Mix",Shalamar,spotify:track:0no57KxOV94n8BYTGaHIKY
Bodas De Prata (Silver Wedding),Paul Horn,spotify:track:06xwyJ3AXEzPoTtBCcnawK
Slow Movin' Outlaw,Waylon Jennings,spotify:track:1mmCZOQe66p6iIP4Tvw42V
That'll Be The Day,The Crickets,spotify:track:7w9UuIaDrfyey4dV3AbwGW
My Perfect Cousin,The Undertones,spotify:track:7imgYc9CZjThKX8Qetcvmn
I Got the Fire,Montrose,spotify:track:6neQcVJ7GjpbhnaTacsoxS
Con Elvira Es Otra Cosa,Pappo's Blues,spotify:track:0Ri6Qey5DwAljQ2RNNLOsk
Being Boiled - Fast Version / 2003 Digital Remaster,The Human League,spotify:track:2xN8RYKg69sdfoqtvYnwwM
The Joker,Steve Miller Band,spotify:track:1bp2IO61zbQrbWNmKKxg3f
Shutout,The Walker Brothers,spotify:track:6lDJEEX8QwxxwV8jDQOaNp
I'm Stranded,The Saints,spotify:track:6pXcyjABZyf6LKzL4wsj9k
Paintbox,Pink Floyd,spotify:track:7g0mX3nfKZwfYF1XvZFOpU
Penny Hitch - Remastered 2006,Soft Machine,spotify:track:2Guf1XvAy8mf4s1yz0p75Y
Too Much Too Young - 2002 Remastered Version,The Specials,spotify:track:7ypOIgX0ynxgYiQd7ltAQJ
School,Supertramp,spotify:track:2pNtf9j22cPJ2M8nkE5X1e
She's Lost Control - 2007 Remaster,Joy Division,spotify:track:49G0Rj1qpt75vdgiOo8QAE
Mirror of Illusion - 1996 Remaster,Hawkwind,spotify:track:0DpyGEC9O0UZfrwpBnGACC
Spirits Drifting - 2004 Digital Remaster,Brian Eno,spotify:track:0CUTdiwHWlO3VGWHQxpbeo
A Treatise on Cosmic Fire - 2015 Remaster,Todd Rundgren,spotify:track:0Ca1ZoqkUsYd3fazZMesZ0
Dis-moi,Patsy Gallant,spotify:track:5eEK9k4fxTfPuleeC6OvF9
Iron Horse/Born To Lose,MotÃ¶rhead,spotify:track:5bL6R9SvjJrkB1uMC5xa7z
Waiting in the Monsters Garden,Pan & Regaliz,spotify:track:7Az1zPbwBGUYlV1FfScaE6
Vertigo / Relight My Fire,Dan Hartman,spotify:track:2U0XibMMrzRORohIIJCn0K
Ramble Tamble,Creedence Clearwater Revival,spotify:track:6fdAGzFIlN3QMpxLo6jIAn
Push Me Away,The Jacksons,spotify:track:4dgKTVJ93MAtErkYQOTdAc
Tush - 2006 Remaster,ZZ Top,spotify:track:6zGDIDjfDkPyNxrEERO3XG
She's Always a Woman,Billy Joel,spotify:track:5RgFlk1fcClZd0Y4SGYhqH
Nightime,Big Star,spotify:track:3nJfUMzoT76Rty4KBvVfv2
It's All Right Now,Eddie Harris,spotify:track:2uydRlPZMHwiXwLOwxtyja
"Machine Gun - Live At Filmore East, New York/1970/1997 Digital Remaster",Jimi Hendrix,spotify:track:2l2YAblqvbivu8xx2KaxPB
The Dawn Anew Is Coming,Message,spotify:track:0g7qnW7wm0y3ZrNYGaiow2
Jet Airliner,Steve Miller Band,spotify:track:2zI3bUYn2pcF27of6i2oqK
One End More / Phil's Little Dance / Worlds Of Zin,Gilgamesh,spotify:track:2vR62wZwi7vmPgGHbX0U6s
Sugar Man,RodrÃ­guez,spotify:track:0lAQNoOwS6XWpS76ipCw3w
Don't You Think This Outlaw Bit's Done Got out of Hand,Waylon Jennings,spotify:track:79M1EMwuUACX8hYUwX1uv1
"Slap, Slap Lickedy Lap",Instant Funk,spotify:track:730fJEgCuwdLhAAtsWZmAw
Let Thy People Go,Max Roach,spotify:track:5frx7R2cqojNZbn214rzCL
Take It Or Leave It,Brenda And The Tabulations,spotify:track:5dmK3Y1UzIM7hmJAMNMfO1
Capitain's Log,Spirogyra,spotify:track:5hTYYjlZ6l9YQvf23j7VBr
All Right Now,Free,spotify:track:4iFiqGqxaEQzm1CfoGVZib
It's Not Supposed To Be That Way,Waylon Jennings,spotify:track:3oa8NDypliVnz1WMipVDzK
L'enfant samba,Cortex,spotify:track:5uM2TbV57PabdmqUTJa1pG
Move Over,Janis Joplin,spotify:track:2bD9x9kN4wYyVoyckeqlLk
Sunrain,Ashra,spotify:track:7xrtYFSpcy2fT6xuyVZzFV
Blow Away - 2004 Mix,George Harrison,spotify:track:67F9MFQj4YZG2i0V0HCMUs
All the Way from Memphis,Mott The Hoople,spotify:track:7k6g7CYViGDVNB5ohqUOaY
Dorothy,Jorge Ben Jor,spotify:track:6ct6PfaBiH3ADSJcakrt4J
Experiencia Sin Ãrgano,The Storm,spotify:track:3aBnY0DomFNKM6Ldk3gApu
Domino - 1999 Remaster,Van Morrison,spotify:track:0eti3iRdEgUxwcIcN2N9DY
Rock & Roll Part 2,Gary Glitter,spotify:track:7x02qmf2UVRUfqhlB12yOr
One Love / People Get Ready,Bob Marley & The Wailers,spotify:track:2iSXgduBpKrwJuQcuybkxP
Flash Light,Parliament,spotify:track:6Ie9yuocD61v7hrh02moc6
McAlpine's Dream,Principal Edwards Magic Theatre,spotify:track:2RJifoMSsreDBXuFerMmyA
ã¶ã»ã¯ã¼ã II,ã»ã­ããªã»ã·ã²ãª,spotify:track:3OCxOUUH3FUf8xk0RuWADJ
United Nations,Buffalo,spotify:track:0OHHrsGKkrRL05I2MeWuSA
People Say,The Meters,spotify:track:746CCMLis8SK64lLVXMF1d
Loran's Dance,Idris Muhammad,spotify:track:21MdP1zGqerRKUmfvsoWQJ
The Passenger,Iggy Pop,spotify:track:3yP0cohcr97BUNJcgvmSVg
I Got Something,Beauregarde,spotify:track:3B6DtletvxvYM8sYNyfNe2
Coshing Old Lady Blues - 1999 Remaster,Third World War,spotify:track:1rh7ucoOC4x3Z6durHHEmJ
Wouldn't Matter Where You Are,Minnie Riperton,spotify:track:7MNo2klfWLCi35b7UMokDu
Hit The Sky,White,spotify:track:5Kf8TvmjX89UaD2XNoNaUO
Long Flowing Robe,Todd Rundgren,spotify:track:4mI07NwEF4VLYrQ9VVXUdg
"No More Tears (Enough Is Enough) - 12"" Version",Donna Summer,spotify:track:2Zk9PZUmYT7FD2x1OoqOkp
O My Soul,Big Star,spotify:track:2csUN49CrnF4c9cQvfKCj1
BabÃ¡ AlapalÃ¡,Gilberto Gil,spotify:track:1ErSaimCsD2hOoYwSBQ35A
"Where Do I Begin - Love Theme from ""Love Story""",Andy Williams,spotify:track:45FLu3nL1iMYXYPzhqLdko
Misty Mountain Hop - Remaster,Led Zeppelin,spotify:track:5NnZ4JJxWiqqhYNu3rwmFj
A Treatise On Cosmic Fire - III The Fire of Spirit or Electric Fire,Todd Rundgren,spotify:track:0xTZr0BenZLN11vI7Y7H4Z
From the Beginning - 2015 - Remaster,"Emerson, Lake & Palmer",spotify:track:0Ll60pqkEBHqzdeclRHdnl
Rat Crawl - 1999 Remaster,Third World War,spotify:track:09zCT0KvqQVTFzGGtXfFQi
Failure (Demo),Agnes Strange,spotify:track:1GdeQKIHSbzqInFmPE7awC
Music For My Mother - 1969 Version,Funkadelic,spotify:track:2IXl5Pp7TmGVh5NKAsQBjj
Poor Moon - Bonus Track,Canned Heat,spotify:track:7Jz5xuMxyyddDLx40RsWL5
Ballrooms Of Mars,T. Rex,spotify:track:2PmGtDUyJIpYBEtI1hQIVp
Jugo de Lucuma,Invisible,spotify:track:4eNd245wCiCqqCIFDEiyhg
Gearheart And God,Goose Creek Symphony,spotify:track:35H8fDNymlvPfRFdBJuUoN
Pantagruel's Nativity,Gentle Giant,spotify:track:0hY38Uc5H5j4BgxEf0guhA
We Had It All,Waylon Jennings,spotify:track:4QUnpR9QxKoIWnrCvSs6h3
Reflejos,Vox Dei,spotify:track:4mylTzlrY0dlU68G3L1lor
Sing Sing Sing,Country Joe & The Fish,spotify:track:23vXrquKk5fv1UiQDUK3N6
Weed,Weed,spotify:track:7AyTwDawEM2lhhF6fGlH8r
Buried Alive In the Blues,Janis Joplin,spotify:track:1irx6ITISFfwiSqZuBGzSf
Joybringer,Manfred Mann's Earth Band,spotify:track:4CpwfyXvsnJYlHgUD4VL0m
Thirteen,Big Star,spotify:track:3BQLTtpQOYGXQY2lT3ZZeU
Seeing You This Way,Minnie Riperton,spotify:track:16a6SSyG1us0gJzbMiAbdx
A Toast to the People,Black & Blues,spotify:track:45WT5RTeM43RogBElqZrWD
Cold Cold Change - Remastered Version,Midnight Oil,spotify:track:12SB24y2fVMeHCKIeR9wlz
Sweet Talkin' Woman,Electric Light Orchestra,spotify:track:6jiqHrt2LuDLeg4yQXBVeU
I've Always Been Crazy,Waylon Jennings,spotify:track:7uCZY4H10zmzAgybEQkfmL
Sadie Mae,Bloodstone,spotify:track:5abqT22A1F7TEWlD6YxJrS
Rhinestone Cowboy,Glen Campbell,spotify:track:0bvHudcdNOCcA0vEJfeadH
Bad Detective,New York Dolls,spotify:track:64Zedu5nSzGeR8rNj0Y1No
Never Can Say Goodbye,The Jackson 5,spotify:track:59Rn3cbfrBjhHzXTG9BcUT
Don't Tell Me Later Girl,Yellow Sunshine,spotify:track:6aHGPf4R0kHtNmsrbEGGdR
(Don't Fear) The Reaper,Blue Ãyster Cult,spotify:track:5oI1A8G8jH5rxt35dPiHIB
Let's Go Get Stoned - With Intro / Live At The Fillmore East/1970,Joe Cocker,spotify:track:6DsdCvg06vj9YAUvxviJVc
Breakdown,Tom Petty and the Heartbreakers,spotify:track:5x53pbGk6sbl1BGom19QQ5
Future Days,CAN,spotify:track:742Qq4oImak5UxgZu25897
Ball and Chain - Live,The Full Tilt Boogie Band,spotify:track:35eOaVYjO0CxaIU1yOSLGX
"Poems, Prayers and Promises",John Denver,spotify:track:1ydNrg5m64qFjNZA4rGx8m
Cold as Ice,Foreigner,spotify:track:7vidktgNZFQylTgH1GEnMs
Whatever You Want,Status Quo,spotify:track:2kUzt5LsTUR0ggquP7O3eN
I'm Going Away,Frank Marino & Mahogany Rush,spotify:track:66YJwxQ9nCKbXgTx8yuOpy
Paris 1919,John Cale,spotify:track:7sF2KOkDLXNDAiUXpWP8aR
"Spear For Moondog, Part 2",Jimmy McGriff,spotify:track:10QzLvjaVfu6QVCKJLsSbX
Magic Dragon Theatre,Utopia,spotify:track:2MVKxHIuhGij7fpPNKSxQx
That'll Be the Day,Flamin' Groovies,spotify:track:4KOWQHmojlvXcQxkbLSvBF
Never In My Life,Mountain,spotify:track:7jHkz4gIV5JdWYtQ5nWiaq
That's the Way of the World,"Earth, Wind & Fire",spotify:track:4BNhasx75KbS10jHq3VZTz
Stud Spider,Tony Joe White,spotify:track:52XNMzj96fK6oz7JmxddsN
Yellow Roses,Heron,spotify:track:0Ejunv5OnMLvGolBq3YTYp
Sweet Jane,Mott The Hoople,spotify:track:6FfW6UCP2xGzhVcPWiyP9t
Witch Hunt,Donald Byrd,spotify:track:4FALviwmmgcRY6W4CVR14r
Ramblin' Man,The Allman Brothers Band,spotify:track:41aOyMZXFwvwRpugIlNCGF
Storm Warning,TJM,spotify:track:0YxtpSXAjtniUqHutACNYX
Ejection - 1996 Remaster,Hawkwind,spotify:track:616Z5969ECkxyR5sEzeTu9
The Wizard - 2014 Remaster,Black Sabbath,spotify:track:6sjTzevtstOxOMsFsypsEm
Love Gun,KISS,spotify:track:7ChRGXHb05yIp1Sc43d37Z
Kings Cross Ladies,Buffalo,spotify:track:2kEYmPUBUPvS6PvjFLItwR
Rainbow,Randy California,spotify:track:4PHVgobXKtRfCA4RRlO4BD
Jamie,"Ray Parker, Jr.",spotify:track:5yHQ8xAHLuQ2VZH3dgTPZE
Hangin' On An Eyelid,Second Hand,spotify:track:55won3G0PkUO1nQiAxUH8v
Mesmerization Eclipse,Captain Beyond,spotify:track:6XK7A73bgUP0gjHvtSjN5J
Us and Them,Pink Floyd,spotify:track:1TKTiKp3zbNgrBH2IwSwIx
Skunk (Sonicly Speaking),MC5,spotify:track:54eSbWqb0tPjvoRWKuPxLv
"Wenn schon, denn schon",Rufus Zuphall,spotify:track:1aejQ1VhztSI5leGqDuflM
Sin City,Wicked Lady,spotify:track:3cwRrufyfUW9FzqaD0ERFO
Dusty Track,Freedom,spotify:track:2g78JSvIGy9xB100elj9qn
Woman Tamer,Sir Lord Baltimore,spotify:track:50NyocLyppYex3toJ6lyW1
Loving & Free,Kiki Dee,spotify:track:5gN74aUmgu1PnPXqU5Yiq4
"Jack Daniel's, If You Please",David Allan Coe,spotify:track:5IWb5kwXz1UgsXVyrMvpKi
Winter Wine,Caravan,spotify:track:6OgFTnpmp0lxjQ8P5dCKyH
Changes,Message,spotify:track:4vqZE0LDlfQIMi1OQkjRLJ
(She Finally Crossed Over) Love's Cheatin' Line,David Allan Coe,spotify:track:6cElDHmiZe35NUwCw1ALou
Miracles,Jefferson Starship,spotify:track:3OMLd7mpOFpzWeZ5kx9DRD
If That Ain't Country,David Allan Coe,spotify:track:7LkE9UBPQRaTxtfWran7KB
Vida Antiga,Erasmo Carlos,spotify:track:3hPm7wwK3QaTJMe8jptr32
Is There Anybody Out There?,Pink Floyd,spotify:track:5HAjss9faCAowGY8dM24r6
Naima,Extra Ball,spotify:track:0BcRySq3vsjvgN9ocxhySF
This Is The Time Of The Year,Golden Earring,spotify:track:1N8F81gBl4rY1xncrjSuFg
"Get It While You Can - Live at McMahon Stadium, Calgary, Canada - July 1970",Janis Joplin,spotify:track:0pXV9qhr9vLOlsTzjsGjSK
Schekina,Samla Mammas Manna,spotify:track:2TKtcfgpahwMLksloh0xg0
Intro: Pound Of Flesh,Buffalo,spotify:track:5qYtLQTQPhZgWqvRUSsSM4
Station 4: Als hÃ¤tt ich das alles schon 'mal gesehen,A.R. & Machines,spotify:track:6IkQcwHwe5KqM3tphkOvCH
Our Lives - Extended Version,Minnie Riperton,spotify:track:3ObVUNxk1rjT9CCyDHRmd5
Sitting On Top Of The World,Howlin' Wolf,spotify:track:4wqBlV9jC6FvTFnL53CUL0
Blues de Cris,Pescado Rabioso,spotify:track:7aTrE9dlJFI4nxoj7QbX2F
Mass Production,Iggy Pop,spotify:track:6ZnUeaJSgc5aRmRWfjOkH9
Your Name,Heklaa,spotify:track:0y4Q0S7zMNLSjgwbf9doV3
Voodoo Chile,Wicked Lady,spotify:track:1L6aUkSKEd0T2eCGIUvViD
One of the Narrow Minded Thoughts,Tomorrow's Gift,spotify:track:7xq0AW9BVaxkuB2HKNfRzl
Hazard Profile Part 1,Soft Machine,spotify:track:7J2kYMUtOIzKU9Tpd6YDYX
Poor Girl,Savoy Brown,spotify:track:388bIBQ7hnBPXJzClQspsV
Moon Tears (feat. Nils Lofgren),Grin,spotify:track:4KN0EwcxMZDuFtNvT2lWRm
Who Put the Garlic in the Glue?,NRBQ,spotify:track:6VbpdPefZsJfMBtIbVvILE
Another Day - Remastered 2012,Paul McCartney,spotify:track:4CeXXn71DG2X3i3bq3PK53
Get Up And Get Down,The Dramatics,spotify:track:6DJQhP9YVTwBB3Ixlq5aVN
Goodbye Pork Pie Hat,Jeff Beck,spotify:track:77wOpffkkQtZpdrvhPKbFq
Run The Night,Wicked Lady,spotify:track:1ReghLhavenAoA6Wh38Edj
"Whenever, Wherever",Minnie Riperton,spotify:track:2fBNQDl8SxPAdW0Dg4smAG
Satin Sheets,Willis Alan Ramsey,spotify:track:2kO1mBi0UIFgfpQunkh9R5
I'll Play for You,Seals and Crofts,spotify:track:7MuygdIATbqaKMGqtUzKhg
Cecilia - Single Mix,Simon & Garfunkel,spotify:track:11CeyEFt21BvAICfd4U8FA
Sign of the Times,Terry Callier,spotify:track:46cs4z5Wtt6zbjJ80CIGqq
I'm The Face,The High Numbers,spotify:track:3Mcxl6esKlZTPTF4XAyBy0
Omaca,Sestetto Dino Piana & Oscar Valdambrini,spotify:track:3xqbdVPULGQjcxnNmWpTNd
Hair of the Dog - 2010 - Remaster,Nazareth,spotify:track:4plWteom872xTLJ6QTXR3p
A Treatise On Cosmic Fire - II The Fire of Mind or Solar Fire,Todd Rundgren,spotify:track:6MrBXymDreOvIwky2xo9r8
Stone Cold Crazy,Queen,spotify:track:1hIosqffluXyhXPYDI7Mik
Los Libros de la Buena Memoria,Invisible,spotify:track:2Xmngyu2TzYsxnleGTHq1D
Factory Canteen News - 1999 Remaster,Third World War,spotify:track:3FLVwAwXMDaNlThDmxbXjG
Easy Livin',Uriah Heep,spotify:track:6qn5Ysxo9H4z4QgEvwg1SK
Jag har sett allt genom dig (Live from SvR Midnight Hour 1971),November,spotify:track:736zjUT0Sht5grBVeyXRc8
Double Cross,Bloodrock,spotify:track:6Y3Wndw1fVrSXfSOR4Q0Ys
Misty Mountain Hop - 2012 Remaster,Led Zeppelin,spotify:track:3frf3zTgzt3YIx9ylpUoqU
You Must Run,Ainigma,spotify:track:5q2LkgbdQZIBWebfN3khU2
Me and Mrs. Jones,Billy Paul,spotify:track:4sj8qFcEDnRPNv3tBbUVUf
It Looks Like Love,Goody Goody,spotify:track:2mCLc4lZjbpcpXgNBrC5lY
Kwaeli,Sunbirds,spotify:track:2fBrzQFoZVHLQhc8erJd3O
Fire And Water,Free,spotify:track:5jK9iJEBgHMQePlRukmnts
Too Much Fun - Live,Commander Cody and His Lost Planet Airmen,spotify:track:4bVxL55x2kayrARltgbvp1
Tillbaks Till Stockholm,November,spotify:track:1szb5ZLjIDCRWWKTIcz1Nf
Freefall,Camel,spotify:track:5mp2gqf8tLqLYwrCwh5r9C
It's Too Late,New York Dolls,spotify:track:5rkMSg2H9HXELt3evVs46F
"Ball and Chain - Live at McMahon Stadium, Calgary, Canada - July 1970",Janis Joplin,spotify:track:5RkGtouFamzWFmKSDRlaeO
Just For Love - Pt. 1,Quicksilver Messenger Service,spotify:track:39MIbGjOVHGwsAQSCwI4ol
Ambulance Blues - 2016 Remaster,Neil Young,spotify:track:4jUvuCcFjZaAIFoZMh77kW
We'll Talk About It Later,Nucleus,spotify:track:3XNTSwR8MwfPfmhQZwP0dr
Joshua,Max Roach,spotify:track:3evG5ByR1mCyYckX6FvNC4
Space Truckin',Deep Purple,spotify:track:44lAQJzaUI6hcpHEFqp2mJ
Brown Girl in the Ring,Boney M.,spotify:track:0rT9KyAEDNr0kbBL5Qfo8k
Bicycle Race,Queen,spotify:track:5rQKjP9forn7JVuiZBj6eZ
Stay All Night (Stay a Little Longer),Willie Nelson,spotify:track:0ZXmbQXKbfXO8Cv9qxPdZu
Parchman Farm,Cactus,spotify:track:4bFbO4QLW7109daM0JVbTT
Landslide,Fleetwood Mac,spotify:track:5ihS6UUlyQAfmp48eSkxuQ
Golden Years - 1999 Remaster,David Bowie,spotify:track:1hlG7OWNQYhY01ZOd7JL6S
Child of Innocence,Kansas,spotify:track:151D7hJead77tBDUWVgzpq
Our Names Aren't Mentioned (Together Anymore),Asleep At The Wheel,spotify:track:31CAEgBwQexYvN3Nc5jG6d
That's You,My Solid Ground,spotify:track:7ecWhWcJVg2PtaKTZO4KD9
Anarchy In The UK,Sex Pistols,spotify:track:5moTxUGPZXgGmosl4rIELm
Red Headed Stranger,Willie Nelson,spotify:track:5buJ3E5gcaJvM3wRgwenFi
Connie,Commander Cody and His Lost Planet Airmen,spotify:track:79H2RJRXfzVGfONred0so5
Run Through The Jungle,Creedence Clearwater Revival,spotify:track:03Fy6w3Klzxrbt5J8KN8lq
Same Rain Falls,Robin Trower,spotify:track:7hpkE4gB6gk4itmd81jiow
Moanin' The Blues,Merle Haggard,spotify:track:1CwnEUxgc5HstR943B7LtO
Siempre en Mi Mente,Juan Gabriel,spotify:track:5vmqRHDrMgdbw3CIvQycbj
The Funk Is On,Instant Funk,spotify:track:3ijoSmzvPqpHPbz4C2BOZ2
Overkill,MotÃ¶rhead,spotify:track:2O3BRyrdPgauBAAH5vxxvc
Give me a Break,Vivien Vee,spotify:track:21ebxv3xeNEJbmdwBhfwQ5
Rocking Man - 2013 Remaster,Budgie,spotify:track:7gS1v88hn7iyBAEoINH4EH
I Got My Eyes On You,Peter Frampton,spotify:track:3Tj9EYw1b7kdbg8TkNdarD
Brand New Key,Melanie,spotify:track:7da5B9d2oVV16YSzXVxmrR
Pitter Patter - Remastered 2000,The Beach Boys,spotify:track:6NYKusEB6NQBM214DxiO7t
Sweet Jesus,Quintessence,spotify:track:5gwpY1CDZtX7kCoZ25ZA9s
Free Born Rambling Man,David Allan Coe,spotify:track:7o1wRHJQ04t4lO454dxnuT
Suitcase - Remastered 2010,Badfinger,spotify:track:1pKTBo3Ctgejk8NbXKmTiK
Jigsaw Feeling,Siouxsie and the Banshees,spotify:track:2ekrRev7Q3qAaDB8o8IWOh
I Love The Sound Of Breaking Glass,Nick Lowe,spotify:track:4lr8mubS2OpgJEOuPHx2rV
Dirty Mother Blues,Lincoln Street Exit,spotify:track:3k4svXbjv6bhefiTHnRy5c
After the Love Has Gone,"Earth, Wind & Fire",spotify:track:3cfnGXJ9bmiWvFqEO6ff8B
Just for You,Peter Green,spotify:track:3ideOFeJoAq4d60mRAjDTI
Enlightenment: Psalm 4,Paul Horn,spotify:track:1yjIDbMkBcUNxfODbDrPK7
There Is No Other Place,International Harvester,spotify:track:7lJbyBZfcDO8yVolpcHMbd
Yesterday's Wine,Willie Nelson,spotify:track:23cLUZhXnvZhgp2aA6PIYQ
Second Hand News - 2004 Remaster,Fleetwood Mac,spotify:track:0hlniElQOr5tvSKBaSpAQi
Renegade,Styx,spotify:track:3bDmwEgagANjmKllPzPC2c
I'd Have You Anytime,George Harrison,spotify:track:0wZuvGn7nZbKoyKOlwZQMF
Hero,NEU!,spotify:track:3MBImoJoOnqCyzW3L4WKfK
Hawknose Harlequin,Amon DÃ¼Ã¼l II,spotify:track:6lPOM7NXfFbRnpu75dKG8Y
I'd Die Babe - Remastered 2010,Badfinger,spotify:track:49IgKQQGk5ZxH4O32wc41A
Looking On,The Move,spotify:track:0KRF7uZ3r8kuSnWulIzWCi
Me and Bobby McGee - Demo Version,Janis Joplin,spotify:track:24wUUPqDonEJryKo1NclJo
"Tamborim, cuÃ­ca, ganzÃ¡, berimbau",Azymuth,spotify:track:56cbrGLVQTYTgouw88sLrS
Up Around The Bend,Creedence Clearwater Revival,spotify:track:2yVgB9jAOHncthn5HEQoee
Child's Christmas In Wales,John Cale,spotify:track:0eaIZ82uOTXqkopGBer5FO
Highway Star - Remastered 2012,Deep Purple,spotify:track:3uMmllZo1AfoEnVT4ENCD3
Never Marry A Railroad Man,Shocking Blue,spotify:track:0yJqVJvhL5sKNX2VKVSz0C
Try Love Again,The Natural Four,spotify:track:2tDQsXQCvipwjrsJMf4ZDf
What a Fool Believes,The Doobie Brothers,spotify:track:2yBVeksU2EtrPJbTu4ZslK
Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & The Raiders,spotify:track:3mDOHVY9MWZOTODSNF5GBj
Pensamiento,Stephen Stills,spotify:track:1b3EJqctiCIn4oEQDSqmRc
Hollywood,Cluster,spotify:track:741KQX9BobWT2bV5s5nO2D
Echoes,Pink Floyd,spotify:track:7kriFJLY2KOhw5en9iI2jb
Golden Flyer,Howard Wales,spotify:track:25G5ITylSm989tmdoNJOE4
Post War Saturday Echo,Quatermass,spotify:track:04yHP9L2YYy7GyCFuSFr4y
Intuition - Remastered 2010,John Lennon,spotify:track:570g0E93XPrX0BNRJFhRe8
Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",spotify:track:4qYHnP5AmKzXbJhciPV8si
Sleeping for Years,Atomic Rooster,spotify:track:6zrRUuFoXsH3y19HoLC6im
More Than a Feeling,Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF
Mejor Mantener la Luz Prendida - VersiÃ³n InÃ©dita,Ricardo Soule,spotify:track:3Yw7KqAQ2ZxXvCWVpaSPps
Stoned Out Of My Mind,The Chi-Lites,spotify:track:3fcoCYbJiqzSNSsNRfnLea
Spacesaver,Thunderhead,spotify:track:7MtT8WMbsnaRGj8aImqWLR
To the Establishment,Lou Bond,spotify:track:1oZoiyzk6ZmevH3owGZZAy
A Case of You,Joni Mitchell,spotify:track:7shVwhUdVbHpykOfbzvDc1
Frustration,Poobah,spotify:track:41Ta2NcZiYawLEZzOqJ3k7
Oh Boy!,The Crickets,spotify:track:1YH9znUTpuJ69Ugqq8x2Rv
Shower the People,James Taylor,spotify:track:5X9778yPpYFP4nHjdn9B4s
Fooled Again (I Don't Like It),Tom Petty and the Heartbreakers,spotify:track:4aMymVwENTzVqR9QxZZxCU
The Jamestown Ferry,Tanya Tucker,spotify:track:22z9lePMOFlFaVnXATEvZU
I Love You,Headstone,spotify:track:4IIGDJSuxRGDYkZnbgynKz
Tell Me You're Satisfied,Goliath,spotify:track:7Ik7hxCAtH3MeKevNoFLvo
Alabama - 2009 Remaster,Neil Young,spotify:track:6PVa4pTYFPv2Sew9wLoyrz
Psycho Killer - 2005 Remaster,Talking Heads,spotify:track:1i6N76fftMZhijOzFQ5ZtL
Let Me Try,MC5,spotify:track:7sGDZTIceiHFWSUh6smsHs
Mother,Bang,spotify:track:3swJGVNeLkJ40bRVnCL4Oo
"Gambler, Gambler",Elf,spotify:track:75WpFjdUuL9MzzzqOn4pRw
Rocky Mountain Time,John Prine,spotify:track:5f63KtLOaZZNaivbgc3tHR
Turn The Page - Live In Detroit/1975,Bob Seger,spotify:track:6rjMQscV8vUrjKXAsU9hNi
My Woman,G.C. Cameron,spotify:track:1QRAqV8Y6yMzSe9z797Spk
Hole in the Sky,Black Sabbath,spotify:track:2T5TRB3KjeollvBSl25HmW
The Water Song - Remastered,kalapana,spotify:track:5S3gOh0WlX5pnKblDPXkIg
ISI,NEU!,spotify:track:58WBRN3iUuZU1aDMHgDOvA
Sound and Vision - 2017 Remaster,David Bowie,spotify:track:1vP2JEXRsGrFbwOZ0foOQ5
If She's Where You Like Livin',Jessi Colter,spotify:track:7hlGoNvoWuXXHKpqF6lcqI
